wt34	wt35	AN1	AN2	CTR1	CTR2	LSC159	LSC177	LSCabb	LSCAN40	LSCAN55
ABCD2	0	1	0	1	0	0	0	0	0	0	0
ABCD3	4753	3424	2035	1504	1231	1662	355	311	777	220	365
ABCD4	698	404	402	219	219	267	45	42	68	26	37
ABCE1	5482	4069	3936	3366	2059	2899	586	586	1215	420	837
ABCF1	1042	927	696	475	363	321	327	212	331	188	321
ABCF2	716	425	776	725	395	411	276	265	403	208	418
ABCF3	1123	577	208	253	140	107	62	48	67	34	55
ABCG1	181	18	94	374	62	46	5	4	14	2	1
ABCG2	117	111	115	76	38	63	28	10	26	9	10
ABCG4	7	8	16	9	5	1	3	0	8	0	2
ABCG5	0	1	0	1	1	0	0	0	0	0	0
ABCG8	7	5	0	0	0	0	0	0	1	0	0
ABHD1	11	2	3	4	2	2	0	0	1	0	0
ABHD10	1847	923	1704	1426	798	1042	108	83	204	85	146
ABHD11	207	178	220	117	97	112	24	15	12	6	21
ABHD12	806	408	376	254	202	217	83	49	99	62	62
ABHD12B	30	13	40	18	27	25	1	2	3	1	0
ABHD13	1132	618	1404	968	867	923	137	113	230	84	132
ABHD14A	37	10	52	40	28	32	27	13	40	17	24
ABHD14A-ACY1	0	1	0	0	0	1	1	0	0	1	1
ABHD14B	649	259	207	266	135	151	52	36	78	44	34
ABHD15	159	126	214	155	82	111	48	27	75	25	38
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	7	6	0	0	0	0	1	0	0	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	545	362	78	66	55	27	0	0	0	0	1
ABHD17B	565	358	510	372	339	395	90	59	139	57	118
ABHD17C	312	155	2038	1656	1212	1405	197	133	453	160	320
ABHD18	491	207	238	320	168	204	67	58	124	63	64
ABHD2	1305	960	555	325	241	360	465	294	560	244	365
ABHD3	144	81	1250	869	821	848	64	75	156	40	57
ABHD4	239	87	67	203	172	73	79	52	169	46	58
ABHD5	2063	596	1158	1251	620	1076	146	109	244	98	180
ABHD6	421	156	146	168	104	157	11	9	22	10	16
ABHD8	238	137	21	15	5	17	27	8	15	6	11
ABI1	5631	1893	3393	2505	2827	3161	451	368	869	281	386
ABI2	733	386	903	642	512	750	296	167	420	215	265
ABI3	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	99	11	234	2159	3239	287	24	33	54	33	8
ABITRAM	400	156	849	1175	524	881	49	46	107	40	60
ABL1	501	314	97	101	91	75	393	232	596	254	317
ABL2	2251	1227	478	428	430	366	466	322	595	299	569
ABLIM1	2924	1481	669	2288	582	699	339	289	704	235	296
ABLIM2	61	21	9	1	8	6	1	0	0	0	0
ABLIM3	68	47	192	373	100	62	8	10	19	8	12
ABO	0	0	112	204	22	8	1	0	10	0	0
ABR	946	592	128	65	51	62	59	35	89	48	42
ABRA	0	0	0	0	0	0	0	0	0	0	0
ABRACL	1739	1373	10805	4955	4446	5332	618	547	998	431	540
ABRAXAS1	492	198	100	57	51	67	38	25	80	27	37
ABRAXAS2	1734	821	361	391	217	299	191	144	247	129	216
ABT1	949	642	863	463	347	458	199	143	283	151	241
ABTB1	165	73	48	52	38	27	8	6	0	6	2
ABTB2	266	94	22	12	4	26	8	1	21	3	5
ACAA1	829	510	24	26	31	20	104	55	112	66	78
ACAA2	1539	514	449	374	691	549	28	39	84	25	17
ACACA	5017	3852	1165	884	786	930	494	280	668	289	405
ACACB	117	62	12	5	5	7	4	9	4	5	4
ACAD10	404	270	67	57	50	66	30	15	37	13	22
ACAD11	1	0	0	0	0	1	3	2	3	2	2
ACAD8	525	375	669	489	420	386	116	93	180	93	139
ACAD9	1049	764	424	246	176	256	104	51	119	46	85
ACADL	0	0	17	7	11	15	0	0	3	2	2
ACADM	2172	1347	2451	1224	1330	1802	213	202	506	210	200
ACADS	162	102	36	13	6	23	2	0	5	1	0
ACADSB	432	219	531	256	282	437	58	45	94	34	81
ACADVL	5458	1863	776	619	584	529	180	85	180	114	108
ACAN	0	1	0	0	0	0	0	0	0	0	0
ACAP1	135	29	53	78	42	29	2	1	5	5	0
ACAP2	5484	1460	1322	2297	784	1229	449	320	659	273	397
ACAP2-IT1	7	2	3	2	1	2	4	2	1	0	2
ACAP3	566	273	37	30	22	35	22	3	31	18	2
ACAT1	5126	2559	2257	1084	1165	1424	209	153	386	159	238
ACAT2	4574	3927	5536	2677	4209	3242	487	353	722	312	347
ACBD3	3262	1593	2956	2198	1743	1793	421	344	694	313	458
ACBD3-AS1	6	4	1	0	0	1	0	0	0	0	1
ACBD4	183	44	23	34	8	13	8	4	9	7	2
ACBD5	1814	845	679	599	398	492	127	67	156	55	123
ACBD6	2561	989	2747	2278	1639	1961	334	170	412	240	338
ACBD7	47	23	9	5	1	9	3	1	1	1	0
ACCS	156	63	75	9	19	15	12	1	7	3	4
ACCSL	0	0	0	0	0	0	0	0	0	0	0
ACD	400	229	435	311	180	186	124	56	102	100	156
ACE	1	1	1	3	2	1	1	0	0	1	0
ACE2	6	1	0	2	0	0	0	0	0	0	1
ACER1	0	0	2	0	0	0	0	0	0	0	0
ACER2	43	39	12	9	7	5	11	4	12	3	3
ACER3	1505	1122	2272	1074	871	1345	731	446	737	431	793
ACHE	3	1	0	1	1	5	2	0	2	3	0
ACIN1	2274	1701	516	405	350	317	591	499	866	491	724
ACKR1	0	0	0	6	1	0	0	1	0	0	0
ACKR2	2	0	2	1	1	1	0	0	1	1	0
ACKR3	783	610	1030	458	493	501	52	81	523	58	36
ACKR4	5	1	53	3	10	0	0	0	1	0	1
ACLY	8054	13125	5671	2401	3497	3705	2127	1682	4616	1669	2023
ACMSD	0	1	0	0	0	1	0	0	0	0	1
ACO1	2162	1512	1821	831	919	913	441	284	645	282	385
ACO2	1520	989	104	86	53	63	510	420	1030	438	555
ACOD1	0	0	4	0	0	0	0	0	0	0	0
ACOT1	31	28	7	0	3	2	0	0	1	4	0
ACOT11	73	49	54	12	5	4	6	1	10	6	6
ACOT12	0	0	0	0	1	1	0	0	0	0	0
ACOT13	1308	440	1871	2002	1429	1193	134	174	310	163	120
ACOT2	177	99	63	23	41	30	8	1	7	1	1
ACOT4	114	46	23	16	11	11	4	3	9	1	2
ACOT6	1	0	0	0	0	0	0	0	0	0	0
ACOT7	1791	1234	3470	1492	1361	1887	186	121	221	102	196
ACOT8	734	300	101	52	56	73	24	25	36	18	21
ACOT9	4002	2087	3154	1773	1509	1612	248	176	355	145	209
ACOX1	2514	1482	674	551	473	408	132	95	256	85	132
ACOX2	0	2	16	13	11	21	2	0	4	1	2
ACOX3	417	279	178	114	84	113	39	36	52	30	62
ACOXL	3	2	0	0	0	0	0	0	2	0	0
ACOXL-AS1	1	2	0	0	1	0	0	0	0	0	1
ACP1	3898	1370	6615	5634	3732	4835	412	336	711	496	471
ACP2	371	257	175	167	79	86	14	9	13	5	11
ACP4	7	5	0	1	0	0	0	0	0	0	0
ACP5	261	121	250	76	140	112	5	2	6	1	3
ACP6	514	192	153	332	139	224	28	18	55	30	27
ACP7	38	17	39	3	9	5	0	0	8	2	0
ACPP	21	8	3	4	10	7	0	0	2	0	0
ACR	0	0	0	1	0	0	0	0	0	0	0
ACRBP	0	1	0	3	1	0	0	0	0	0	0
ACRV1	7	4	24	12	5	14	0	1	0	0	0
ACSBG1	3	0	1	1	2	0	0	0	1	2	3
ACSBG2	1	1	0	1	0	0	0	0	0	0	0
ACSF2	1201	333	262	154	191	115	56	10	78	37	32
ACSF3	445	203	92	131	50	63	26	15	25	16	16
ACSL1	1014	231	1265	1259	964	1726	75	47	153	54	74
ACSL3	14820	7621	9391	9881	6022	7999	1518	1244	2845	1082	1471
ACSL4	9003	5815	4426	2349	2866	3632	1061	751	1863	546	741
ACSL5	14	5	25	3	3	3	0	0	3	2	2
ACSL6	4	6	8	2	0	3	0	1	0	1	0
ACSM1	7	1	7	3	12	4	0	0	2	1	0
ACSM2A	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	1	0	0	0	0	0
ACSM3	32	14	20	8	18	40	3	3	8	3	2
ACSM4	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	2	0	0	0	0	0	0	0	0
ACSM6	4	5	0	1	1	2	0	2	2	2	0
ACSS1	209	94	106	17	28	28	15	6	28	14	7
ACSS2	4387	2936	2167	592	1148	1665	309	187	521	244	240
ACSS3	0	0	31	10	14	14	2	0	6	2	3
ACTA1	0	3	0	0	2	0	2	0	2	1	1
ACTA2	43	20	88	52	67	19	68	54	177	48	46
ACTA2-AS1	0	0	1	0	0	0	0	1	0	0	0
ACTB	26573	27617	195457	89023	96891	90938	21301	21843	49720	14103	13751
ACTBL2	11	11	4	3	4	2	0	1	2	0	1
ACTC1	0	2	0	0	0	0	0	0	0	1	0
ACTG1	86115	91366	55874	23425	39918	41704	26499	25018	71463	18594	21897
ACTG2	3	3	1	2	8	4	2	1	1	0	0
ACTL10	32	26	20	13	5	15	2	0	0	0	1
ACTL6A	3207	1548	2420	2078	1276	1724	446	425	1086	355	782
ACTL6B	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	1	0	0	0	0	0	0	0	0	0
ACTL7B	0	1	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0
ACTN1	12387	12273	12155	5456	6428	6977	7339	5739	12757	4593	7039
ACTN1-AS1	7	1	6	4	0	1	0	0	0	0	0
ACTN2	1	0	0	5	0	0	0	0	0	0	0
ACTN3	0	0	0	1	0	0	0	0	0	0	0
ACTN4	5831	4773	1572	846	1043	948	4082	2581	7074	2621	3008
ACTR10	3614	1531	3844	3007	2282	2904	351	289	892	316	372
ACTR1A	4198	3167	2033	1369	1114	1017	347	251	392	271	302
ACTR1B	1326	544	480	275	229	265	159	86	214	99	122
ACTR2	5927	4443	13272	8179	8794	9688	2203	1998	4515	1434	1799
ACTR3	17289	8774	12639	9600	8195	9958	1870	1522	3415	1064	1673
ACTR3B	142	84	129	124	88	106	21	18	46	20	25
ACTR3C	22	17	12	4	9	10	2	3	4	1	1
ACTR5	353	238	108	146	97	65	18	16	27	10	19
ACTR6	1649	818	2319	1745	1495	1696	175	135	407	166	218
ACTR8	853	533	321	253	224	207	48	36	73	42	51
ACTRT1	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	36	36	135	36	56	65	14	8	21	8	10
ACVR1	381	171	1419	1371	938	1012	171	107	236	96	113
ACVR1B	305	134	498	520	265	386	130	101	273	150	143
ACVR1C	10	4	17	8	34	0	4	0	0	0	1
ACVR2A	217	93	259	316	230	358	55	45	84	38	71
ACVR2B	265	98	65	102	63	69	36	26	77	26	37
ACVR2B-AS1	4	0	2	5	1	0	0	0	1	1	0
ACVRL1	0	0	0	3	14	0	0	0	0	0	0
ACY1	12	1	1	1	0	2	2	2	0	1	0
ACY3	0	0	0	0	0	0	0	0	0	0	0
ACYP1	361	125	1031	626	540	748	36	40	155	38	36
ACYP2	283	61	1101	1066	698	913	25	19	78	17	16
ADA	530	285	845	322	447	341	121	75	215	73	85
ADA2	17	1	72	64	35	8	0	0	46	7	1
ADAD1	0	0	1	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0	0	0
ADAL	487	212	248	265	203	214	63	39	74	37	59
ADAM10	5080	3780	3942	3676	2318	3078	747	546	1172	463	631
ADAM11	5	0	3	2	0	0	0	0	0	1	0
ADAM12	1	2	9	256	142	5	3	1	2	2	1
ADAM15	3625	1800	151	163	65	88	18	21	27	16	28
ADAM17	2582	1017	147	293	84	106	313	244	562	233	277
ADAM18	1	0	0	0	0	0	0	0	0	1	0
ADAM19	81	95	263	191	216	45	121	56	110	50	114
ADAM2	0	0	2	0	0	0	0	0	0	0	0
ADAM20	5	1	0	0	0	0	1	1	0	0	4
ADAM21	21	47	21	3	13	5	1	6	5	4	3
ADAM22	10	3	6	4	2	2	1	1	1	0	1
ADAM23	0	2	1	8	10	1	0	0	0	0	0
ADAM28	6	5	50	20	26	15	6	7	6	11	7
ADAM29	0	1	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	0	0	0	0
ADAM32	103	33	8	15	17	14	4	2	7	5	5
ADAM33	0	0	1	32	93	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0
ADAM8	258	196	838	690	468	630	550	286	545	443	497
ADAM9	14945	8105	20127	12557	10363	11487	1239	886	2124	754	1269
ADAMDEC1	0	0	0	0	0	0	0	1	1	0	0
ADAMTS1	65	149	3130	3203	1525	1216	752	520	768	725	730
ADAMTS10	0	0	1	3	5	0	0	0	0	0	0
ADAMTS12	325	279	12	272	320	8	2	9	5	1	1
ADAMTS13	17	6	12	11	5	16	5	4	12	3	0
ADAMTS14	1	2	0	0	18	2	0	0	0	0	0
ADAMTS15	12	11	3	9	3	1	0	0	1	0	0
ADAMTS16	1	0	0	1	0	0	0	0	0	0	0
ADAMTS17	12	3	3	4	3	4	0	0	0	0	0
ADAMTS18	0	1	0	2	0	0	1	0	0	0	0
ADAMTS19	0	0	6	0	0	2	0	0	0	2	5
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	0	0	10	72	103	4	0	2	0	0	0
ADAMTS20	2	0	7	0	0	0	0	0	0	0	0
ADAMTS3	7	8	34	2	17	7	7	1	3	3	2
ADAMTS4	0	0	12	28	37	0	4	2	3	3	0
ADAMTS5	0	0	1	3	7	0	1	1	0	0	0
ADAMTS6	1408	622	711	267	288	221	373	276	321	170	175
ADAMTS7	11	0	10	8	15	5	16	5	23	3	3
ADAMTS8	1	0	2	0	0	0	0	0	0	0	0
ADAMTS9	0	0	4	6	15	2	2	1	2	1	1
ADAMTS9-AS1	0	0	3	0	3	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	1	0	1	0	1	1	2
ADAMTSL1	63	44	109	84	208	162	31	10	22	21	13
ADAMTSL2	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	62	24	9	7	12	1	2	3	11	11	1
ADAMTSL4-AS1	90	41	14	3	7	2	7	8	11	6	18
ADAMTSL5	24	14	155	167	111	103	54	27	62	21	27
ADAP1	154	50	7	21	6	10	2	2	5	7	1
ADAP2	44	18	18	37	30	16	3	0	3	0	0
ADAR	2621	1808	1840	1474	810	1017	867	547	1203	549	880
ADARB1	652	336	411	242	358	272	76	65	182	83	68
ADARB2	1	0	0	0	1	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0
ADAT1	501	350	513	422	263	355	126	100	203	91	127
ADAT2	472	216	303	332	231	256	102	48	132	78	127
ADAT3	15	7	0	0	0	2	0	0	0	0	0
ADCK1	203	92	78	27	39	47	16	17	37	14	29
ADCK2	939	339	108	152	44	64	26	13	19	8	31
ADCK5	91	49	20	19	8	15	3	5	9	3	2
ADCY1	7	10	11	5	7	5	6	1	2	0	2
ADCY10	9	8	2	1	0	4	0	0	1	0	0
ADCY2	1	0	0	4	0	0	0	0	0	0	0
ADCY3	613	367	164	132	63	145	249	153	342	196	324
ADCY4	1	2	4	3	11	1	1	0	1	0	0
ADCY5	4	0	0	0	0	0	1	0	0	0	0
ADCY6	196	110	21	38	21	11	30	17	47	25	14
ADCY6-DT	0	0	3	1	0	1	0	1	0	0	0
ADCY7	553	257	2	7	2	4	87	50	132	42	71
ADCY8	1	0	0	0	0	0	0	0	0	0	0
ADCY9	565	229	95	85	79	52	57	34	73	31	41
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	4	0	0	0	0	0	0	0	0
ADD1	2902	1686	1586	1142	827	1043	689	485	837	399	628
ADD2	3	4	5	2	5	1	2	2	4	1	2
ADD3	3912	1763	3006	1553	2234	2721	321	258	673	216	302
ADD3-AS1	4	0	5	4	6	6	1	4	5	1	2
ADGB	0	0	0	0	0	0	0	0	0	0	0
ADGRA1	1	0	0	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	22	2	3	1	4	0	0	1	1	0	0
ADGRA3	1536	1208	1553	902	841	801	188	113	293	146	219
ADGRB1	2	0	0	1	0	0	1	0	0	0	1
ADGRB2	12	2	12	3	6	2	0	1	3	3	1
ADGRB3	0	0	0	0	0	0	0	0	0	0	0
ADGRD1	0	0	0	0	0	0	0	0	0	0	0
ADGRD1-AS1	0	0	0	0	0	0	0	0	0	0	0
ADGRD2	9	1	9	3	4	0	3	1	9	2	1
ADGRE1	4	0	0	0	0	0	0	0	0	0	0
ADGRE2	117	53	20	10	11	10	4	4	9	10	4
ADGRE3	0	0	0	0	0	0	1	0	0	0	0
ADGRE5	427	294	98	49	51	66	66	42	76	30	37
ADGRF1	139	142	801	259	399	667	87	47	81	67	139
ADGRF2	10	2	8	7	2	12	0	0	2	0	0
ADGRF3	11	6	6	2	3	3	0	1	6	3	1
ADGRF4	388	181	411	401	405	545	124	69	109	77	53
ADGRF5	0	0	0	0	0	0	0	0	0	0	1
ADGRG1	1348	421	897	1350	641	851	204	103	223	98	163
ADGRG2	10	2	5	7	12	17	0	2	3	1	0
ADGRG3	0	0	1	0	0	0	0	0	0	0	0
ADGRG4	0	1	0	0	0	0	2	2	12	0	4
ADGRG5	0	0	4	1	0	0	0	0	0	0	0
ADGRG6	2871	1091	535	476	378	763	326	225	448	179	329
ADGRG7	0	1	0	1	1	0	0	0	0	0	0
ADGRL1	127	44	57	39	64	54	35	43	34	25	53
ADGRL2	933	635	706	560	555	370	94	118	275	112	274
ADGRL3	2	1	2	1	2	6	0	0	0	1	0
ADGRL3-AS1	0	0	0	0	0	0	0	0	1	0	0
ADGRL4	4	2	2	8	12	0	0	0	1	1	4
ADGRV1	200	50	39	13	22	173	1	2	3	2	1
ADH1A	0	1	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0	1	0	0
ADH1C	0	0	0	0	0	0	0	1	0	0	0
ADH4	0	1	2	0	0	0	1	0	0	0	0
ADH5	8839	5378	8773	5262	5866	6115	1190	901	2211	679	1245
ADH6	14	2	19	4	5	6	2	3	6	1	0
ADH7	2	0	4	32	59	164	0	0	4	0	0
ADHFE1	7	1	23	29	23	25	3	1	5	2	1
ADI1	1533	921	1904	1580	1577	2047	263	241	483	175	318
ADIG	2	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	1	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1	3843	2094	5724	4538	3040	4124	364	323	975	330	365
ADIPOR2	2807	1403	1513	1662	973	1088	499	355	598	332	536
ADIRF	0	0	0	0	0	0	106	118	172	46	90
ADIRF-AS1	205	71	93	164	71	160	51	38	78	27	26
ADK	9963	4926	12821	5362	5778	8038	778	632	1336	612	861
ADM	1341	388	455	2346	839	1569	138	123	393	108	149
ADM2	144	32	70	178	56	128	28	37	89	44	13
ADM5	6	5	0	0	0	1	5	4	17	9	9
ADNP	1761	925	2481	1937	1477	2117	609	414	806	399	664
ADNP-AS1	17	8	51	36	32	45	3	4	4	4	4
ADNP2	1178	746	904	603	427	637	237	208	404	157	271
ADO	1247	645	1151	1019	706	893	123	113	306	87	125
ADORA1	0	2	2	0	0	0	0	0	0	0	0
ADORA2A	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	3	0	0	0	0	0	0	0	0	0	0
ADORA2B	2156	1347	2218	1414	807	1407	149	150	338	132	151
ADORA3	0	0	0	0	0	0	0	0	0	0	0
ADPGK	938	621	616	375	354	367	165	134	287	122	156
ADPGK-AS1	0	1	0	0	0	0	0	0	0	0	0
ADPRH	26	15	5	18	7	11	3	6	9	6	4
ADPRHL1	24	21	20	26	11	8	2	2	4	3	2
ADPRHL2	1574	764	473	301	243	256	109	64	131	59	80
ADPRM	734	143	521	521	329	386	23	22	37	28	52
ADRA1A	0	0	0	0	0	0	0	0	0	0	0
ADRA1B	100	101	0	0	2	0	4	3	7	1	2
ADRA1D	2	0	0	0	1	2	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0	0	0
ADRA2B	1	0	0	0	0	0	0	0	0	0	0
ADRA2C	1	0	0	0	0	0	0	0	2	0	0
ADRB1	83	8	15	77	23	17	4	6	9	0	0
ADRB2	786	653	514	439	301	689	220	170	270	143	349
ADRB3	0	0	0	0	0	0	0	0	0	0	0
ADRM1	1962	746	742	488	274	367	58	37	102	71	61
ADSL	212	119	243	74	74	145	123	69	239	83	157
ADTRP	1974	201	1392	599	549	406	129	54	164	105	66
AEBP1	13	6	52	266	344	12	22	9	5	0	0
AEBP2	721	374	1250	841	784	1097	257	227	591	230	295
AEN	1199	690	402	251	143	241	92	40	105	51	120
AFAP1	1971	1029	587	735	615	544	304	194	513	196	179
AFAP1-AS1	39	17	0	1	0	1	1	0	0	2	0
AFAP1L1	743	547	367	588	189	101	33	31	61	37	68
AFAP1L2	2433	1579	1052	533	536	396	154	126	269	109	116
AFDN	3330	1444	1445	1325	1102	1373	606	420	774	385	486
AFDN-DT	3	1	8	7	10	6	3	2	5	2	2
AFF1	900	442	384	295	271	312	251	128	324	98	162
AFF2	0	0	0	1	0	0	0	0	0	0	0
AFF2-IT1	0	0	0	0	0	0	0	0	0	0	0
AFF3	1	0	0	4	2	0	1	0	1	0	1
AFF4	4105	2217	1491	1610	1142	1272	809	655	1268	527	604
AFG1L	479	210	205	144	107	165	31	30	59	14	25
AFG3L2	2478	1275	276	208	136	216	546	411	768	378	661
AFM	0	0	0	0	0	0	0	0	0	0	0
AFMID	798	241	272	193	227	184	12	6	24	6	4
AFP	0	0	17	2	20	10	3	1	5	0	2
AFTPH	1815	789	1643	1534	996	1270	305	231	552	218	315
AGA	1013	343	527	783	502	1035	137	60	256	63	118
AGAP1	351	230	297	347	158	251	115	84	165	79	87
AGAP1-IT1	2	1	4	5	0	1	0	0	1	1	2
AGAP11	0	0	0	0	0	0	0	0	0	0	0
AGAP2	18	16	6	0	0	1	0	1	2	0	0
AGAP2-AS1	13	16	31	24	24	12	15	11	11	15	23
AGAP3	1335	781	810	468	427	489	307	169	329	222	208
AGAP4	14	6	28	9	6	3	2	0	2	1	4
AGAP5	1	3	0	0	0	0	0	0	0	0	0
AGAP6	2	1	0	0	0	0	0	0	0	0	0
AGAP9	28	4	4	3	18	17	1	0	0	1	0
AGBL1	0	1	7	3	0	5	1	1	0	0	0
AGBL1-AS1	2	0	11	2	12	3	0	0	0	1	0
AGBL2	22	6	43	16	27	12	8	4	8	3	2
AGBL3	29	12	42	33	20	26	2	4	8	4	5
AGBL4	0	0	1	0	0	0	0	0	1	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0
AGBL5	674	341	154	86	97	93	19	21	25	9	13
AGBL5-AS1	0	0	0	0	0	1	1	0	0	0	0
AGBL5-IT1	3	0	0	0	0	0	1	0	0	0	1
AGER	18	7	47	57	46	30	21	19	30	32	31
AGFG1	2160	1069	2719	2827	1719	1866	632	467	1011	423	642
AGFG2	302	149	23	24	11	11	21	11	19	10	16
AGGF1	691	389	918	758	608	737	103	76	266	74	130
AGK	1232	775	1011	662	481	737	190	152	364	105	233
AGL	1846	1251	1123	557	728	792	360	272	568	169	280
AGMAT	99	94	29	6	12	13	7	10	16	14	6
AGMO	1	0	0	10	18	1	0	4	3	0	1
AGO1	1146	916	304	244	215	257	261	172	330	173	255
AGO2	1275	910	701	577	533	418	724	604	692	438	641
AGO3	1637	668	266	373	183	251	190	115	218	97	153
