"lako1"	"lako2"	"lako3"	"lako4"	"lako6"
"DRD4"	1	0	0	2	0
"DEAF1"	18	40	31	54	2
"AC131934.1"	0	0	0	1	0
"EPS8L2"	35	73	79	137	6
"TMEM80"	30	45	55	76	4
"TALDO1"	204	453	257	584	13
"GATD1"	16	26	50	30	1
"AP006621.3"	5	12	17	20	0
"CEND1"	0	0	0	0	0
"SLC25A22"	17	26	20	29	4
"PANO1"	0	0	5	4	1
"PIDD1"	12	17	23	25	1
"RPLP2"	5959	15567	13752	18695	441
"PNPLA2"	43	129	187	200	6
"AP006621.1"	0	0	0	0	0
"CRACR2B"	4	12	5	13	0
"CD151"	150	224	298	395	28
"POLR2L"	569	1489	1321	1950	113
"TSPAN4"	40	93	74	117	12
"AP006623.1"	1	0	17	5	1
"CHID1"	59	126	140	218	14
"AP2A2"	53	103	102	88	5
"LINC02688"	0	0	0	0	0
"TOLLIP"	64	105	124	137	7
"TOLLIP-AS1"	3	11	17	22	0
"AC136297.1"	0	1	1	1	0
"BRSK2"	0	0	1	0	0
"MOB2"	82	152	131	164	8
"DUSP8"	112	132	76	106	2
"KRTAP5-AS1"	0	0	0	0	0
"IFITM10"	7	10	20	39	0
"CTSD"	397	478	563	1115	27
"AC068580.5"	0	0	0	0	0
"SYT8"	174	467	1023	972	59
"TNNI2"	55	87	280	173	3
"LSP1"	93	144	443	316	5
"PRR33"	0	0	0	1	0
"LINC01150"	0	0	0	0	0
"TNNT3"	71	110	135	132	1
"MRPL23"	56	303	316	299	11
"LINC01219"	1	0	1	0	0
"H19"	194	157	758	293	13
"IGF2"	2	0	1	0	0
"AC132217.1"	0	0	0	0	0
"TH"	0	0	1	0	0
"ASCL2"	46	85	87	98	6
"C11orf21"	0	0	0	0	0
"TSPAN32"	0	0	0	0	0
"CD81-AS1"	0	0	0	0	0
"CD81"	917	1760	1656	2151	30
"TSSC4"	90	172	127	110	11
"TRPM5"	0	0	1	1	0
"KCNQ1"	0	3	9	2	0
"KCNQ1OT1"	62	158	358	403	7
"CDKN1C"	123	313	245	321	1
"SLC22A18AS"	0	0	5	0	0
"SLC22A18"	22	52	55	48	2
"PHLDA2"	1177	1054	2024	2447	21
"NAP1L4"	109	190	182	215	10
"AC131971.1"	0	0	0	0	0
"CARS"	31	31	59	39	1
"CARS-AS1"	0	0	0	0	0
"AC108448.3"	0	0	0	0	0
"OSBPL5"	6	35	24	19	2
"MRGPRE"	0	0	0	0	0
"ZNF195"	33	91	63	69	3
"AC127526.5"	59	115	106	178	3
"AC127526.2"	1	2	0	1	0
"AC127526.4"	0	4	3	2	0
"ART5"	1	12	3	9	0
"CHRNA10"	1	2	8	6	0
"NUP98"	91	234	215	144	2
"PGAP2"	33	65	55	65	4
"RHOG"	80	138	122	136	8
"AC090587.1"	0	1	0	2	0
"STIM1"	49	102	115	163	2
"AC090587.2"	0	0	0	2	0
"RRM1"	58	143	131	160	6
"RRM1-AS1"	0	0	0	0	0
"LINC02749"	0	0	0	0	0
"TRIM21"	14	15	14	23	1
"OR52I1"	1	0	0	2	0
"TRIM68"	1	7	6	14	2
"OR52A1"	1	0	1	0	0
"HBB"	11	4480	7	18	0
"HBD"	0	223	0	3	0
"HBG1"	0	2	0	8	0
"HBG2"	0	4	0	22	0
"AC104389.5"	1	0	3	0	0
"OR51M1"	0	0	2	0	0
"OR51I1"	0	0	0	0	0
"UBQLNL"	0	1	2	3	0
"TRIM6"	1	6	10	13	0
"TRIM34"	8	16	16	29	1
"TRIM5"	14	21	23	30	1
"TRIM22"	47	77	64	141	6
"OR56B1"	0	0	0	0	0
"OR52N4"	0	1	1	0	0
"OR52N1"	0	1	0	0	0
"OR52N2"	1	0	0	0	0
"AC022762.2"	1	0	1	1	0
"FAM160A2"	14	54	63	41	3
"CAVIN3"	47	88	79	100	6
"AC068733.3"	0	0	0	2	0
"SMPD1"	33	34	46	65	5
"APBB1"	5	33	31	27	2
"HPX"	1	0	3	1	0
"TRIM3"	6	18	16	20	0
"ARFIP2"	53	85	79	125	9
"TIMM10B"	76	222	153	142	5
"DNHD1"	6	9	12	12	1
"RRP8"	48	93	86	99	5
"ILK"	48	97	119	123	3
"TAF10"	109	154	209	340	12
"TPP1"	34	95	120	139	7
"AC091564.6"	0	0	0	0	0
"DCHS1"	0	3	3	2	0
"AC091564.5"	0	0	0	0	0
"MRPL17"	78	135	131	172	10
"OR2AG2"	0	0	1	1	0
"AC087280.2"	0	0	0	1	0
"ZNF215"	0	1	2	5	0
"ZNF214"	4	7	6	4	0
"NLRP14"	0	0	1	0	0
"RBMXL2"	0	0	0	0	0
"SYT9"	0	0	0	0	0
"AC107884.1"	0	7	5	6	0
"OLFML1"	1	0	0	0	0
"PPFIBP2"	34	53	61	71	2
"AC107884.2"	0	0	0	0	0
"CYB5R2"	44	60	108	81	5
"AC104237.3"	0	7	2	1	0
"AC044810.2"	2	7	8	6	0
"OR5P2"	0	0	1	0	0
"NLRP10"	0	0	0	3	0
"EIF3F"	493	1205	946	1236	45
"TUB"	4	19	3	8	0
"RIC3"	125	207	135	305	7
"LMO1"	0	1	2	5	0
"STK33"	0	0	0	1	0
"TRIM66"	10	22	23	31	2
"RPL27A"	4715	11791	10394	13248	224
"ST5"	54	150	180	153	18
"AC091053.1"	1	1	0	0	0
"AC026894.1"	0	1	0	0	0
"AKIP1"	40	59	52	82	2
"TMEM9B"	72	170	152	266	9
"TMEM9B-AS1"	3	18	12	13	0
"NRIP3"	19	38	35	43	0
"AC079296.1"	0	0	0	0	0
"SCUBE2"	0	0	4	1	0
"DENND5A"	26	74	71	50	2
"AP006259.1"	0	1	1	0	0
"TMEM41B"	69	141	207	160	3
"IPO7"	216	355	463	344	21
"AC132192.1"	31	22	57	55	0
"AC132192.2"	13	34	12	34	1
"ZNF143"	46	76	66	63	3
"WEE1"	439	1835	1264	1596	37
"SWAP70"	145	267	290	226	9
"LINC02709"	17	21	18	39	1
"SBF2-AS1"	25	54	50	42	2
"SBF2"	42	105	136	162	5
"AC011092.2"	1	1	1	0	0
"AC011092.3"	0	0	0	0	0
"AC080023.1"	0	1	0	0	0
"ADM"	1008	1146	1052	2192	7
"AMPD3"	36	48	98	87	2
"MTRNR2L8"	1113	3367	1499	8983	125
"RNF141"	55	132	157	244	10
"MRVI1-AS1"	3	0	2	1	0
"LYVE1"	1	0	1	1	0
"MRVI1"	3	2	5	5	1
"CTR9"	112	179	215	216	14
"EIF4G2"	606	846	1120	1260	66
"AC116535.1"	0	0	0	1	0
"ZBED5"	47	121	98	117	4
"ZBED5-AS1"	21	78	68	95	3
"AC069360.1"	2	4	1	1	1
"GALNT18"	22	35	25	45	7
"CSNK2A3"	0	4	3	4	0
"AC104031.1"	0	5	5	3	3
"USP47"	126	234	206	308	9
"DKK3"	220	440	420	644	22
"LINC02547"	0	0	0	0	0
"AC124276.2"	0	0	0	1	0
"MICAL2"	21	19	42	12	3
"AC079329.1"	0	0	0	0	0
"PARVA"	44	77	72	112	10
"TEAD1"	50	145	164	88	14
"AC013549.1"	1	0	0	0	0
"LINC00958"	69	130	100	209	8
"RASSF10-DT"	0	3	1	1	0
"RASSF10"	5	4	12	29	6
"ARNTL"	38	61	69	55	0
"BTBD10"	37	56	55	59	1
"AC021269.3"	0	0	0	3	0
"FAR1"	56	100	107	86	7
"FAR1-IT1"	2	0	1	0	1
"LINC02683"	0	0	0	0	0
"SPON1"	25	27	36	118	1
"RRAS2"	104	187	277	139	7
"COPB1"	112	252	301	298	13
"PSMA1"	281	520	545	600	20
"PDE3B"	1	1	1	3	0
"CYP2R1"	10	37	20	35	3
"CALCB"	1	0	0	0	0
"CALCA"	0	0	0	0	0
"INSC"	0	1	0	0	0
"SOX6"	37	81	84	96	7
"C11orf58"	392	852	788	1083	40
"PLEKHA7"	6	3	2	9	0
"RPS13"	7567	18594	14943	22022	410
"PIK3C2A"	70	169	195	258	14
"NUCB2"	99	207	110	348	2
"AC124798.2"	0	1	0	0	0
"NCR3LG1"	3	5	16	15	0
"AC124798.1"	9	3	6	11	0
"KCNJ11"	0	0	0	0	0
"USH1C"	0	0	3	0	0
"KCNC1"	2	3	1	2	1
"SERGEF"	28	69	54	67	0
"TPH1"	0	1	0	1	0
"SAAL1"	13	27	24	25	1
"SAA4"	0	0	0	1	0
"SAA2"	60	2	2	4	0
"SAA1"	255	318	31	452	5
"HPS5"	28	50	67	68	5
"GTF2H1"	61	123	123	117	3
"LDHA"	2118	3184	2828	4765	171
"AC084117.1"	0	0	3	0	0
"LDHC"	7	0	3	11	0
"LDHAL6A"	0	0	2	0	0
"TSG101"	109	193	166	194	11
"AC027544.2"	0	0	0	0	0
"UEVLD"	9	21	36	46	4
"SPTY2D1OS"	13	39	33	33	0
"SPTY2D1"	102	250	272	286	8
"TMEM86A"	0	4	3	0	1
"IGSF22"	2	10	1	9	0
"AC103974.1"	0	0	2	0	0
"ZDHHC13"	25	85	93	113	7
"CSRP3-AS1"	0	0	0	0	0
"E2F8"	1	0	4	2	0
"NAV2"	23	87	100	59	4
"NAV2-IT1"	0	0	0	0	0
"AC009549.1"	0	2	0	0	0
"NAV2-AS3"	5	0	2	1	0
"NAV2-AS2"	0	0	0	0	0
"NAV2-AS1"	0	0	0	0	0
"HTATIP2"	111	173	131	219	19
"PRMT3"	29	19	33	35	2
"NELL1"	8	184	105	72	1
"ANO5"	0	2	0	0	0
"SLC17A6"	0	0	0	0	0
"FANCF"	20	15	14	26	2
"GAS2"	4	10	17	12	2
"SVIP"	88	206	119	136	3
"AC006299.1"	0	1	1	0	0
"LINC02718"	0	0	0	0	0
"LUZP2"	10	7	10	12	2
"ANO3"	0	1	3	0	0
"AC021698.1"	1	0	1	0	0
"MUC15"	49	289	177	195	2
"SLC5A12"	1	0	1	0	0
"FIBIN"	13	14	6	11	0
"BBOX1"	15	28	28	17	4
"BBOX1-AS1"	5	1	12	14	1
"CCDC34"	15	35	34	67	1
"LGR4"	44	104	119	168	5
"AC100771.2"	0	2	0	1	0
"LIN7C"	88	175	146	190	4
"BDNF-AS"	13	27	20	24	1
"BDNF"	2	3	6	1	0
"KIF18A"	1	12	3	4	1
"METTL15"	21	55	69	82	4
"AC013714.1"	0	0	0	0	0
"KCNA4"	0	0	0	0	0
"AL358944.1"	0	0	0	0	0
"ARL14EP"	80	120	103	110	8
"MPPED2"	2	3	6	11	0
"AL353699.1"	9	14	6	8	0
"MPPED2-AS1"	0	0	0	0	0
"DCDC1"	12	43	34	78	5
"AL137804.1"	3	5	3	11	1
"DNAJC24"	67	104	79	158	7
"IMMP1L"	87	274	195	238	6
"ELP4"	50	200	178	203	11
"AC131571.1"	3	28	17	15	0
"PAX6"	771	1894	1340	3236	86
"PAUPAR"	1	8	4	5	0
"AL035078.1"	0	6	3	0	0
"RCN1"	168	235	274	342	17
"EIF3M"	450	1039	811	918	37
"CCDC73"	0	0	2	0	0
"PRRG4"	393	545	806	991	27
"QSER1"	43	108	111	119	4
"DEPDC7"	9	18	15	14	0
"TCP11L1"	6	33	25	25	1
"LINC00294"	4	20	18	19	2
"CSTF3"	36	77	88	98	2
"CSTF3-DT"	0	0	0	0	0
"HIPK3"	104	279	240	222	10
"KIAA1549L"	7	0	2	0	0
"AL049629.1"	0	2	1	0	0
"C11orf91"	8	2	7	1	0
"CD59"	676	877	1110	793	41
"FBXO3"	60	140	148	160	12
"FBXO3-DT"	0	0	0	0	0
"LMO2"	16	29	28	24	1
"AC090469.1"	2	2	2	1	0
"CAPRIN1"	114	226	207	247	16
"NAT10"	21	42	42	35	4
"ABTB2"	22	11	27	7	0
"CAT"	55	94	110	80	2
"ELF5"	0	1	0	0	0
"EHF"	672	1122	657	1091	35
"APIP"	46	75	74	67	2
"PDHX"	26	108	73	85	0
"AL356215.1"	1	2	2	1	0
"CD44"	941	958	1308	1668	65
"CD44-AS1"	0	1	1	1	0
"AL133330.1"	15	28	74	39	1
"SLC1A2"	0	2	3	4	2
"PAMR1"	3	4	4	3	3
"FJX1"	39	55	95	29	6
"AL138812.1"	0	0	0	0	0
"TRIM44"	109	166	219	240	13
"LDLRAD3"	14	18	20	23	0
"AL136146.2"	0	0	0	0	0
"COMMD9"	37	72	56	113	2
"PRR5L"	1	0	1	0	0
"TRAF6"	27	35	49	30	0
"RAG1"	4	2	1	0	0
"C11orf74"	18	48	48	58	0
"AC021713.1"	1	0	0	0	0
"LINC02759"	0	0	0	0	0
"LRRC4C"	1	3	1	0	0
"API5"	63	100	127	157	8
"TTC17"	75	135	165	170	7
"AC087276.1"	0	0	2	0	0
"AC068205.2"	0	3	3	3	0
"HSD17B12"	97	253	235	366	19
"AC087521.2"	4	10	8	15	0
"AC087521.4"	1	0	0	0	0
"ALKBH3"	31	50	42	109	4
"ALKBH3-AS1"	1	0	0	2	0
"AC087521.3"	0	0	0	5	0
"C11orf96"	3003	1375	2575	7686	0
"AC087521.1"	9	7	6	32	0
"ACCS"	5	23	16	28	1
"AC134775.1"	0	0	0	0	0
"EXT2"	31	58	41	64	9
"ALX4"	0	0	0	0	0
"CD82"	98	139	189	277	10
"TSPAN18"	2	3	14	9	0
"TP53I11"	13	28	38	28	1
"PRDM11"	7	28	25	14	2
"SYT13"	0	0	0	0	0
"LINC02696"	0	5	9	2	0
"CHST1"	8	2	9	9	1
"AC044839.1"	3	11	6	3	0
"LINC02716"	0	1	0	2	0
"SLC35C1"	11	19	17	29	3
"CRY2"	30	105	125	92	7
"MAPK8IP1"	7	34	26	19	3
"AC068385.1"	0	0	0	0	0
"C11orf94"	0	0	0	0	0
"PEX16"	47	59	75	155	5
"LARGE2"	19	16	30	45	4
"PHF21A"	29	72	68	92	4
"CREB3L1"	0	0	2	1	0
"DGKZ"	39	60	48	61	6
"MDK"	63	79	78	300	5
"AMBRA1"	8	11	9	16	0
"AC127035.1"	5	12	3	7	0
"HARBI1"	8	11	9	11	2
"ATG13"	34	74	82	117	2
"ARHGAP1"	39	67	88	128	4
"ZNF408"	9	25	24	15	0
"CKAP5"	18	43	41	44	4
"LRP4-AS1"	1	0	0	2	0
"LRP4"	68	195	81	250	3
"AC021573.1"	2	2	1	0	0
"C11orf49"	38	69	53	95	4
"AC090589.2"	0	1	2	3	0
"ARFGAP2"	68	126	102	98	7
"PACSIN3"	67	116	125	139	4
"DDB2"	80	209	225	274	9
"ACP2"	22	24	21	54	6
"NR1H3"	7	6	8	10	0
"MADD"	15	43	49	38	0
"MYBPC3"	0	0	3	0	0
"SPI1"	0	1	5	3	0
"AC090559.1"	0	1	2	2	0
"SLC39A13"	38	65	79	82	7
"PSMC3"	160	309	278	354	18
"RAPSN"	0	0	1	1	0
"CELF1"	112	282	343	373	12
"AC090559.2"	2	11	12	7	0
"NDUFS3"	104	241	197	370	12
"PTPMT1"	29	86	80	100	7
"KBTBD4"	9	36	37	25	0
"FAM180B"	0	0	0	0	0
"C1QTNF4"	9	43	28	56	1
"MTCH2"	73	89	117	179	10
"AGBL2"	2	5	4	3	0
"FNBP4"	192	304	343	476	13
"NUP160"	62	122	94	85	3
"PTPRJ"	12	15	33	16	0
"FOLH1"	2	8	15	9	0
"LINC02735"	0	0	0	0	0
"APLNR"	0	0	0	0	0
"TNKS1BP1"	47	103	179	110	12
"AP000781.1"	0	0	0	1	0
"SSRP1"	98	146	170	180	8
"PRG2"	1	3	14	15	1
"SLC43A3"	32	34	56	23	5
"RTN4RL2"	2	1	3	6	0
"SLC43A1"	1	2	3	0	1
"TIMM10"	170	335	342	358	7
"UBE2L6"	44	65	55	145	6
"SERPING1"	122	221	173	647	7
"AP000662.1"	0	1	2	1	0
"YPEL4"	2	1	4	2	1
"CLP1"	13	64	51	38	4
"ZDHHC5"	64	143	159	192	6
"MED19"	105	248	212	249	6
"TMX2"	88	164	106	183	6
"SELENOH"	333	668	534	868	26
"BTBD18"	0	0	0	0	0
"CTNND1"	182	477	454	615	14
"LPXN"	2	4	4	5	0
"ZFP91"	168	327	319	387	14
"AP001350.1"	0	0	1	0	0
"CNTF"	0	2	0	0	0
"GLYATL2"	0	0	0	0	0
"GLYATL1"	0	0	0	0	0
"AP001636.3"	0	0	0	0	0
"FAM111B"	1	1	3	7	0
"FAM111A-DT"	10	21	17	19	1
"FAM111A"	16	44	44	80	5
"DTX4"	4	8	3	8	1
"MPEG1"	1	0	0	0	0
"OR4D9"	0	0	6	0	0
"AP003778.1"	3	4	1	2	0
"LINC02739"	5	11	9	21	0
"AP000442.1"	0	4	2	5	0
"OSBP"	84	140	154	162	4
"PATL1"	40	82	119	143	2
"AP000640.2"	1	3	2	0	0
"STX3"	121	181	209	193	3
"AP000640.1"	0	2	0	1	0
"MRPL16"	29	88	65	90	6
"TCN1"	0	0	2	5	0
"MS4A2"	0	1	1	0	0
"LINC02705"	0	0	0	0	0
"MS4A6A"	0	0	0	0	0
"MS4A4A"	0	1	0	0	0
"MS4A4E"	0	0	1	0	1
"MS4A7"	0	0	0	1	0
"MS4A14"	0	0	0	0	0
"MS4A1"	0	0	0	0	0
"CCDC86"	45	70	65	60	2
"PTGDR2"	0	0	0	0	0
"ZP1"	1	0	0	0	0
"PRPF19"	41	67	97	116	5
"AP003721.4"	0	0	0	0	0
"AP003721.3"	0	0	0	0	0
"TMEM109"	81	130	111	213	11
"AP003721.1"	0	0	0	0	0
"TMEM132A"	4	3	6	11	1
"SLC15A3"	1	3	9	18	0
"CD6"	0	0	0	0	0
"CD5"	0	0	0	0	0
"VPS37C"	10	33	36	27	3
"VWCE"	2	4	6	3	0
"DDB1"	90	200	239	242	6
"TKFC"	11	44	27	47	3
"CYB561A3"	38	67	71	101	3
"TMEM138"	21	58	53	77	5
"TMEM216"	20	46	45	59	7
"CPSF7"	59	93	125	120	6
"SDHAF2"	38	128	95	122	8
"PPP1R32"	1	1	1	1	0
"AP003108.1"	1	0	0	1	0
"LRRC10B"	0	0	0	0	0
"SYT7"	0	2	3	2	0
"AP003559.1"	1	0	0	0	0
"DAGLA"	0	2	1	0	0
"MYRF"	0	1	1	3	0
"TMEM258"	444	944	854	1610	43
"FEN1"	11	18	18	22	1
"FADS2"	2	4	2	0	0
"FADS1"	3	7	1	3	1
"FADS3"	18	18	24	33	0
"RAB3IL1"	3	7	5	5	0
"BEST1"	19	36	40	57	5
"FTH1"	17169	49927	34433	77369	2379
"LINC02733"	0	0	0	1	0
"AP002793.1"	0	0	0	0	0
"INCENP"	7	11	6	5	0
"SCGB2A1"	89	64	92	337	0
"SCGB1D2"	2	2	1	2	0
"SCGB2A2"	0	0	0	0	0
"AP003306.2"	0	0	0	0	0
"ASRGL1"	0	2	0	2	0
"AHNAK"	1210	1773	1919	2116	64
"AP001363.2"	2	10	10	2	0
"EEF1G"	3633	7717	6361	7360	203
"TUT1"	15	15	16	23	1
"MTA2"	30	38	55	59	1
"EML3"	49	105	91	131	9
"ROM1"	7	24	13	21	0
"B3GAT3"	84	177	128	209	4
"GANAB"	62	144	148	272	8
"INTS5"	8	17	28	27	5
"C11orf98"	5	14	5	6	2
"LBHD1"	1	2	1	1	0
"CSKMT"	95	146	208	195	8
"UQCC3"	99	124	138	273	8
"UBXN1"	431	775	615	716	27
"LRRN4CL"	7	12	15	16	0
"BSCL2"	43	112	107	115	3
"GNG3"	1	1	0	2	0
"HNRNPUL2"	65	111	133	160	10
"TTC9C"	27	47	59	51	2
"ZBTB3"	3	7	6	6	0
"POLR2G"	100	202	185	288	19
"AP001160.2"	3	3	3	3	0
"TAF6L"	13	33	36	36	3
"TMEM223"	32	43	47	60	2
"AP001160.3"	7	14	10	4	0
"TMEM179B"	100	210	232	330	15
"NXF1"	51	92	171	240	2
"STX5"	63	225	216	223	8
"AP001160.4"	1	4	2	14	0
"AP001160.1"	14	38	38	56	2
"WDR74"	100	176	195	214	13
"SNHG1"	324	451	535	609	6
"SLC3A2"	955	1825	1478	1815	56
"AP000438.1"	0	1	1	0	0
"PLAAT5"	2	2	6	3	0
"PLAAT4"	94	203	214	404	19
"PLAAT2"	29	61	64	52	1
"PLAAT3"	15	35	16	42	0
"ATL3"	90	130	165	206	9
"RTN3"	184	349	355	394	20
"C11orf95"	3	15	19	10	0
"SPINDOC"	4	28	31	15	1
"MARK2"	56	97	109	136	6
"RCOR2"	1	0	2	2	0
"NAA40"	6	9	18	14	0
"COX8A"	484	941	912	1657	45
"OTUB1"	75	144	195	238	4
"MACROD1"	49	98	118	119	2
"AP006333.2"	0	0	0	0	0
"FLRT1"	0	0	0	0	0
"AP006333.1"	0	2	0	0	0
"STIP1"	133	180	155	220	11
"FERMT3"	1	0	1	3	0
"TRPT1"	22	63	55	86	7
"NUDT22"	35	55	64	112	9
"AP001453.1"	0	3	1	1	0
"DNAJC4"	123	264	251	315	9
"VEGFB"	110	154	160	245	7
"FKBP2"	53	174	75	75	8
"AP001453.3"	0	0	0	0	0
"PPP1R14B"	742	664	798	1142	25
"PPP1R14B-AS1"	42	17	32	27	0
"AP001453.2"	0	3	4	1	0
"PLCB3"	13	23	24	23	3
"BAD"	90	193	203	308	12
"GPR137"	33	54	57	91	5
"KCNK4"	0	0	0	0	0
"CATSPERZ"	1	2	3	0	0
"ESRRA"	61	113	158	106	18
"TRMT112"	530	1236	944	1496	51
"PRDX5"	853	2210	1963	2704	99
"AP003774.2"	0	0	1	1	0
"CCDC88B"	7	10	10	6	0
"RPS6KA4"	15	16	21	24	1
"SLC22A11"	0	0	1	0	0
"NRXN2"	1	0	1	1	0
"RASGRP2"	6	8	8	13	1
"PYGM"	1	1	3	3	0
"SF1"	481	940	888	1239	38
"AP001462.1"	4	17	9	11	1
"MAP4K2"	6	14	24	30	0
"MEN1"	7	21	26	34	0
"CDC42BPG"	11	29	39	50	0
"EHD1"	78	111	164	93	2
"MIR194-2HG"	2	2	3	7	0
"ATG2A"	50	55	80	137	0
"PPP2R5B"	31	64	49	75	8
"GPHA2"	1375	2967	5074	21811	9
"MAJIN"	2	9	14	7	0
"BATF2"	3	4	4	17	0
"ARL2"	190	378	357	408	18
"SNX15"	25	58	43	62	4
"SAC3D1"	13	27	31	69	4
"NAALADL1"	10	32	25	22	0
"CDCA5"	3	0	2	1	0
"ZFPL1"	36	68	76	118	3
"TMEM262"	1	0	1	0	0
"VPS51"	81	175	272	197	15
"AP003068.1"	0	1	1	0	0
"TM7SF2"	6	7	15	20	1
"ZNHIT2"	21	22	29	27	1
"FAU"	5479	11470	10791	15214	270
"SYVN1"	37	130	71	111	5
"MRPL49"	38	100	74	90	5
"AP003068.2"	7	14	14	8	2
"CAPN1"	129	280	283	401	38
"AP000944.6"	0	0	0	0	0
"POLA2"	1	12	6	10	1
"AP000944.7"	0	0	0	0	0
"CDC42EP2"	5	15	8	9	0
"DPF2"	33	96	99	114	3
"TIGD3"	2	1	1	2	0
"SLC25A45"	11	11	16	24	2
"FRMD8"	57	96	57	88	5
"NEAT1"	5037	8274	18037	34428	643
"LINC02736"	1	0	0	0	0
"AP000769.6"	0	0	0	0	0
"MALAT1"	104533	242908	181131	308158	7470
"AP000769.2"	0	0	2	3	0
"SCYL1"	43	79	95	94	8
"LTBP3"	143	235	211	290	9
"SSSCA1-AS1"	7	5	4	8	1
"ZNRD2"	162	288	231	310	8
"FAM89B"	77	196	151	226	8
"EHBP1L1"	11	23	31	54	2
"KCNK7"	0	1	4	4	0
"MAP3K11"	14	60	81	110	2
"PCNX3"	7	17	27	33	4
"SIPA1"	26	38	39	71	3
"RELA"	105	175	190	179	5
"RELA-DT"	16	18	22	32	0
"KAT5"	65	148	114	102	4
"RNASEH2C"	71	187	106	124	11
"AP5B1"	55	203	258	176	5
"OVOL1"	250	831	932	1235	8
"OVOL1-AS1"	1	2	0	4	0
"AP001266.1"	0	4	5	5	0
"CFL1"	1266	3347	2626	3425	101
"SNX32"	1	1	1	2	0
"MUS81"	18	60	28	44	2
"EFEMP2"	38	76	77	80	8
"CTSW"	0	0	0	0	0
"FIBP"	83	128	100	183	15
"CCDC85B"	338	824	465	492	17
"FOSL1"	951	1504	2124	1337	8
"C11orf68"	133	212	240	158	5
"DRAP1"	506	636	651	715	15
"TSGA10IP"	0	0	0	0	0
"SART1"	46	96	93	87	4
"EIF1AD"	33	65	67	86	5
"BANF1"	226	408	328	562	22
"CST6"	0	0	2	1	0
"CATSPER1"	0	0	0	0	0
"GAL3ST3"	0	0	0	0	0
"SF3B2"	175	350	336	380	24
"AP006287.2"	0	0	1	0	0
"PACS1"	32	92	83	132	7
"AP000759.1"	0	1	0	0	0
"KLC2"	19	17	36	34	2
"AP001107.4"	0	1	0	1	0
"AP001107.7"	0	0	0	0	0
"RAB1B"	66	187	176	337	4
"AP001107.1"	0	2	1	1	0
"AP001107.2"	2	3	2	2	0
"CNIH2"	0	1	2	3	0
"YIF1A"	115	123	142	194	8
"TMEM151A"	1	1	0	0	0
"CD248"	1	4	4	4	0
"RIN1"	16	22	22	47	1
"AP001107.6"	0	0	0	0	0
"BRMS1"	52	103	98	126	8
"B4GAT1"	7	14	10	26	2
"AP001107.9"	3	8	2	4	1
"SLC29A2"	3	7	2	3	0
"AP001107.5"	0	1	2	3	0
"NPAS4"	0	11	0	0	0
"MRPL11"	131	303	218	281	12
"PELI3"	9	15	20	26	1
"AP002748.4"	8	30	23	30	0
"DPP3"	11	13	17	38	1
"BBS1"	6	23	26	21	2
"AP002748.6"	0	1	0	0	0
"ZDHHC24"	14	35	35	54	1
"ACTN3"	0	0	2	0	0
"CTSF"	117	224	211	290	15
"CCDC87"	0	0	0	1	0
"CCS"	68	180	135	230	7
"RBM14"	46	104	85	102	4
"RBM4"	323	601	569	598	24
"RBM4B"	19	55	49	37	2
"SPTBN2"	12	31	38	37	1
"C11orf80"	10	30	39	44	0
"RCE1"	45	84	64	63	2
"PC"	0	3	6	7	1
"LRFN4"	7	6	14	6	0
"SYT12"	0	3	4	4	0
"RHOD"	55	102	138	166	7
"KDM2A"	90	223	213	240	11
"AP001885.3"	0	0	0	0	0
"GRK2"	31	64	81	78	6
"ANKRD13D"	37	66	60	85	6
"SSH3"	19	42	67	81	6
"AP001885.2"	0	6	4	3	0
"RAD9A"	56	60	66	104	4
"POLD4"	82	171	175	275	9
"AP003419.2"	0	0	0	0	0
"CLCF1"	68	180	369	300	3
"AP003419.3"	0	3	3	3	0
"PPP1CA"	99	205	237	426	10
"TBC1D10C"	0	1	1	0	0
"CARNS1"	0	1	0	0	0
"RPS6KB2"	34	86	78	117	7
"RPS6KB2-AS1"	0	7	1	0	0
"CORO1B"	75	124	148	182	9
"CABP4"	0	1	2	1	0
"TMEM134"	170	257	272	654	14
"AIP"	78	186	169	220	13
"PITPNM1"	18	33	36	24	0
"CDK2AP2"	65	99	107	212	10
"GSTP1"	3656	6524	4704	11103	189
"C11orf72"	0	0	2	0	0
"NDUFV1"	144	346	310	412	9
"NUDT8"	42	72	60	118	4
"ACY3"	0	1	0	2	0
"ALDH3B2"	1	0	0	1	0
"LINC02754"	5	7	5	41	0
"UNC93B1"	27	37	30	62	0
"ALDH3B1"	0	2	3	3	0
"NDUFS8"	157	255	261	533	22
"TCIRG1"	12	33	37	46	6
"AP002807.1"	0	3	2	7	1
"CHKA"	22	62	48	29	1
"AP002992.1"	0	0	0	0	0
"KMT5B"	64	153	133	178	4
"C11orf24"	11	15	34	36	0
"AP002813.1"	0	3	2	4	0
"LRP5"	22	32	60	52	8
"PPP6R3"	71	137	164	133	8
"GAL"	4	3	17	5	0
"TESMIN"	7	18	9	10	1
"CPT1A"	19	91	40	45	6
"LINC02701"	0	0	0	0	0
"MRPL21"	156	276	208	321	7
"IGHMBP2"	12	11	17	16	2
"AP003071.4"	0	0	0	0	0
"MRGPRF"	2	0	0	4	0
"MRGPRF-AS1"	0	0	0	0	0
"TPCN2"	7	10	9	9	1
"SMIM38"	0	0	0	0	0
"MYEOV"	0	1	2	0	0
