	LSC159	LSC177	LSCabb1	LSCabb2	PKC19
TMEM200B	1	0	0	0	2
SRSF4	390	358	265	439	382
MECR	52	65	24	69	41
PTPRU	10	19	4	15	3
RP3-437I16.1	1	0	0	0	0
MATN1	1	0	0	0	0
MATN1-AS1	3	2	2	2	5
LAPTM5	0	1	0	1	0
MXRA8	1	2	2	0	0
SDC3	89	33	29	77	93
PUM1	514	436	400	527	496
SNRNP40	142	128	114	239	165
ZCCHC17	93	65	61	59	95
FABP3	1	0	3	2	2
SERINC2	866	661	280	806	202
TINAGL1	620	268	389	814	180
PEF1	162	134	73	139	91
COL16A1	68	44	45	58	66
BAI2	0	1	0	2	0
SPOCD1	75	13	20	10	1
PTP4A2	973	790	516	821	700
AURKAIP1	148	83	100	104	201
KHDRBS1	208	152	69	183	133
TMEM39B	44	33	20	40	49
KPNA6	551	441	202	590	360
TXLNA	118	92	70	101	102
CCDC28B	16	9	4	15	7
IQCC	5	2	2	3	2
TMEM234	1	5	2	5	2
CCNL2	219	97	103	106	94
EIF3I	292	201	227	201	295
MTMR9LP	1	1	0	0	0
LCK	5	1	0	0	0
HDAC1	372	304	282	333	292
MARCKSL1	92	143	47	133	5
FAM229A	0	1	0	0	0
TSSK3	0	0	0	0	1
BSDC1	121	90	60	147	90
ZBTB8B	0	0	0	0	0
ZBTB8A	89	60	43	92	64
ZBTB8OS	40	46	38	49	50
RBBP4	25	15	12	11	14
SYNC	1	0	0	0	1
KIAA1522	251	135	111	166	284
YARS	277	209	167	236	207
S100PBP	62	39	59	75	58
FNDC5	0	0	1	0	0
HPCA	5	2	6	7	14
TMEM54	48	33	11	25	24
RNF19B	10	6	4	4	4
AK2	393	412	228	503	316
ADC	6	2	3	8	6
TRIM62	15	8	6	6	10
ZNF362	70	22	20	34	29
PHC2	217	76	68	88	84
ZSCAN20	2	4	0	0	1
GJB5	71	44	13	37	40
GJB4	15	4	1	7	5
GJB3	396	325	75	265	299
GJA4	1	0	1	0	2
SMIM12	182	103	47	98	132
LOC148413	2	1	1	6	3
LOC653160	6	5	0	5	2
ZMYM6NB	125	86	75	99	83
ZMYM6	43	43	34	21	46
ZMYM1	101	62	63	69	62
MRPL20	166	211	82	181	124
SFPQ	408	259	164	146	198
ZMYM4	158	154	104	158	115
KIAA0319L	100	57	44	66	60
TFAP2E	2	1	2	1	3
ANKRD65	17	6	11	22	16
PSMB2	870	711	514	968	633
C1orf216	14	8	2	18	4
CLSPN	160	136	76	93	100
AGO4	35	25	25	25	36
AGO1	191	127	89	153	83
AGO3	34	19	12	12	16
ADPRHL2	81	47	27	58	57
COL8A2	7	3	1	2	8
TRAPPC3	93	89	71	80	103
MAP7D1	736	444	181	598	379
THRAP3	458	408	271	357	340
SH3D21	1	1	1	2	1
STK40	12	6	4	6	11
LSM10	91	39	37	34	55
OSCP1	9	4	8	7	4
MRPS15	117	121	49	88	93
VWA1	68	20	6	35	32
LINC01137	3	3	1	5	2
ZC3H12A	272	151	101	364	57
MEAF6	316	308	263	468	349
ATAD3C	1	0	1	4	4
SNIP1	88	75	48	68	60
DNALI1	2	7	4	4	0
GNL2	114	89	100	125	140
C1orf109	92	82	55	69	67
CDCA8	136	109	102	136	130
MANEAL	0	1	0	0	0
YRDC	153	108	75	132	54
C1orf122	129	101	20	76	40
MTF1	124	77	52	104	126
INPP5B	24	7	6	6	27
LOC102723897	2	0	0	1	0
SF3A3	234	181	108	154	120
FHL3	91	76	15	72	41
UTP11L	255	199	148	243	213
POU3F1	15	6	11	34	408
RP11-214L19.1	0	0	0	0	7
RRAGC	185	157	101	144	285
MYCBP	2	1	1	0	1
RHBDL2	36	14	21	23	43
AKIRIN1	296	209	196	261	152
NDUFS5	865	480	692	805	1059
ATAD3A	6	17	4	9	2
MACF1	1174	730	624	635	719
PPIEL	2	1	0	3	1
PABPC4	516	345	345	478	379
HEYL	0	3	0	0	0
SSU72	403	285	126	400	302
HPCAL4	0	1	0	0	0
PPIE	10	8	5	3	1
TRIT1	57	66	71	58	57
C1orf233	3	1	1	2	10
MYCL	8	11	11	32	59
MFSD2A	50	40	30	49	77
MIB2	26	16	8	29	26
CAP1	2508	2074	1294	2174	1531
PPT1	163	139	80	93	178
RLF	121	103	70	60	73
ZMPSTE24	388	308	268	331	286
COL9A2	54	13	4	25	42
SMAP2	82	70	39	61	79
ZFP69B	8	7	10	4	1
ZFP69	12	12	8	21	20
EXO5	13	18	12	13	8
ZNF684	9	7	4	5	9
RIMS3	6	6	1	7	9
NFYC-AS1	8	1	1	7	3
NFYC	93	75	65	111	82
KCNQ4	1	0	0	0	0
CITED4	188	124	48	292	125
CTPS1	229	164	137	188	100
SCMH1	5	1	1	1	0
FOXO6	0	0	0	0	1
LOC101929901	0	0	2	0	0
EDN2	1	0	0	7	34
HIVEP3	8	6	7	12	15
FOXJ3	140	141	110	133	132
ZMYND12	0	0	0	1	1
PPCS	13	8	0	4	1
CCDC30	0	0	0	0	2
PPIH	129	170	71	179	157
YBX1	4009	3914	3010	4252	3564
CLDN19	0	0	0	0	1
LEPRE1	21	8	6	8	5
C1orf50	5	11	7	7	13
CCDC23	57	54	60	82	57
ERMAP	13	10	6	13	12
ZNF691	9	10	5	12	12
LOC339539	0	0	0	0	0
SLC2A1	696	533	385	777	1725
SLC2A1-AS1	6	0	1	7	5
FAM183A	2	0	0	0	1
EBNA1BP2	364	340	397	341	455
WDR65	0	3	0	0	1
TMEM125	1	2	1	3	2
C1orf210	6	8	11	12	30
CDK11B	28	6	18	9	20
MPL	4	3	0	2	1
CDC20	49	66	48	70	89
ELOVL1	30	19	14	33	37
MED8	28	30	16	49	14
SZT2	9	2	0	1	1
HYI	6	10	1	7	1
PTPRF	819	576	380	770	719
KDM4A	29	9	10	7	3
ST3GAL3	3	10	4	6	4
ARTN	46	19	18	27	49
LOC101929609	1	0	0	0	0
IPO13	49	23	4	24	24
DPH2	48	48	23	66	27
ATP6V0B	275	219	88	272	241
B4GALT2	91	65	22	76	56
CCDC24	5	7	2	3	4
SLC6A9	47	41	8	63	44
KLF17	0	0	0	1	0
DMAP1	8	2	2	4	5
ERI3	33	30	9	42	15
RNF220	150	103	63	154	127
TMEM53	17	14	4	11	19
RNU5D-1	2	0	4	0	0
KIF2C	177	157	131	179	176
RPS8	1449	937	920	1472	1647
BEST4	3	0	1	0	1
PLK3	36	31	25	51	19
BTBD19	0	1	0	0	0
PTCH2	4	1	3	3	0
EIF2B3	40	34	37	41	39
HECTD3	88	75	39	100	40
UROD	94	63	61	76	42
LINC01144	0	0	1	0	0
HPDL	3	0	0	7	4
MUTYH	12	5	6	8	15
TOE1	19	11	8	11	8
TESK2	9	12	7	12	16
CDK11A	26	4	6	9	11
CCDC163P	13	3	6	5	15
MMACHC	21	31	12	43	15
PRDX1	1829	1447	1077	1284	1273
AKR1A1	120	72	34	91	108
NASP	355	264	191	241	235
SLC35E2	3	0	0	0	3
CCDC17	1	0	1	3	0
GPBP1L1	181	148	207	274	198
TMEM69	235	276	180	360	184
IPP	23	22	9	10	9
MAST2	6	4	10	7	12
NADK	113	73	73	93	94
PIK3R3	32	21	22	22	10
RP4-533D7.5	1	0	0	2	0
TSPAN1	60	38	28	55	8
POMGNT1	41	15	16	28	21
LURAP1	0	1	0	5	1
RAD54L	20	17	7	9	11
LRRC41	171	151	54	287	107
UQCRH	1398	1198	900	1538	1474
NSUN4	53	52	33	59	49
FAAH	9	4	3	3	13
LOC729041	1	0	0	2	0
MKNK1-AS1	0	0	0	0	0
MKNK1	7	10	5	8	2
MOB3C	15	8	6	18	21
ATPAF1	29	27	21	24	48
EFCAB14	64	31	19	41	25
GNB1	1686	1537	785	1711	998
CYP4X1	1	0	2	9	1
PDZK1IP1	7	0	0	2	5
TAL1	0	0	0	0	1
STIL	63	59	61	33	49
CMPK1	438	396	475	523	460
LOC102724077	1	1	0	0	1
FOXE3	0	0	0	0	0
FOXD2-AS1	5	3	0	1	1
FOXD2	6	2	3	3	1
TRABD2B	2	0	0	0	1
SLC5A9	0	0	0	0	0
SPATA6	8	3	3	2	3
TMEM52	0	0	2	2	0
KIAA1751	0	0	0	2	0
DMRTA2	20	1	22	37	0
FAF1	184	165	154	243	213
CDKN2C	21	22	16	23	61
RNF11	243	207	262	283	289
TTC39A	0	0	0	1	2
EPS15	214	155	172	193	194
OSBPL9	234	249	197	260	115
NRD1	499	362	349	537	394
PRKCZ	1	2	0	2	1
RAB3B	541	374	310	610	33
TXNDC12	344	328	204	308	236
BTF3L4	251	235	186	316	199
ZFYVE9	59	43	31	33	76
CC2D1B	48	27	17	23	34
ORC1	42	18	17	20	51
PRPF38A	78	59	31	68	71
ZCCHC11	142	103	153	121	193
GPX7	2	2	0	6	5
COA7	35	35	13	19	23
ZYG11B	224	156	196	202	227
ZYG11A	10	9	3	5	6
ECHDC2	62	24	30	17	30
SCP2	771	612	564	741	581
CPT2	24	10	7	18	15
C1orf123	64	64	63	63	78
MAGOH	83	83	49	82	69
RP5-1024G6.5	0	2	0	0	0
LRP8	158	122	90	124	76
GLIS1	16	5	4	9	5
C1orf86	2	0	0	0	1
NDC1	179	176	165	166	186
YIPF1	75	71	49	80	47
HSPB11	212	144	214	159	187
LRRC42	251	201	170	282	248
TMEM59	357	377	289	443	468
TCEANC2	26	17	12	23	16
CYB5RL	2	1	0	0	2
MRPL37	231	265	64	270	121
SSBP3	155	110	35	103	53
MROH7-TTC4	0	0	0	0	0
TTC4	1	1	0	0	0
PARS2	22	8	8	6	4
TTC22	0	0	0	1	1
C1orf177	2	0	0	0	0
DHCR24	665	454	198	527	278
TMEM61	1	4	4	5	12
PCSK9	962	376	527	588	601
USP24	204	159	147	165	148
LOC100507634	2	2	0	2	0
PPAP2B	14	9	13	10	11
PRKAA2	11	9	37	65	2
OMA1	31	25	41	37	36
TACSTD2	1851	1391	1323	1749	3212
MYSM1	183	102	104	128	104
JUN	325	315	245	456	345
RP4-794H19.4	0	0	0	0	0
FGGY	26	19	15	25	18
HOOK1	76	62	84	92	170
CYP2J2	4	7	12	12	20
LOC100996570	0	1	0	0	0
SKI	243	189	122	175	166
NFIA	283	248	207	368	336
TM2D1	229	141	189	269	194
INADL	178	125	102	108	111
L1TD1	12	27	12	12	3
KANK4	0	0	0	1	8
USP1	330	329	222	190	266
MORN1	1	2	1	2	2
DOCK7	213	114	154	137	106
ATG4C	60	49	53	49	60
ALG6	69	78	52	107	65
ITGB3BP	108	94	91	81	113
EFCAB7	7	7	8	5	15
PGM1	179	93	142	134	174
ROR1	2	3	2	6	37
CACHD1	11	9	10	26	9
RER1	316	225	154	252	171
RAVER2	41	31	26	44	40
JAK1	494	383	304	378	409
AK4	287	281	210	309	174
DNAJC6	16	20	22	25	20
LEPROT	5	5	2	4	5
LEPR	12	8	8	19	17
PDE4B	0	1	0	0	2
SGIP1	0	1	2	0	2
PEX10	2	2	0	2	0
WDR78	3	10	3	4	3
PLCH2	141	62	140	113	98
MIER1	247	210	165	226	202
SLC35D1	132	93	62	107	127
C1orf141	0	0	0	0	2
IL12RB2	2	3	3	9	3
PANK4	27	26	8	23	18
SERBP1	1228	1121	1290	1325	1243
GADD45A	293	309	577	555	532
GNG12	1139	932	804	1220	835
GNG12-AS1	0	0	0	0	0
HES5	1	1	0	0	2
WLS	18	11	11	12	13
RPE65	1	0	0	0	0
DEPDC1	135	111	188	194	154
RP4-694A7.4	0	0	0	1	1
LRRC7	0	0	0	2	1
LRRC40	110	102	123	107	92
SRSF11	811	635	493	603	529
LOC115110	1	0	0	0	0
ANKRD13C	70	73	57	74	57
LOC100133445	1	0	0	0	0
HHLA3	13	13	9	23	17
CTH	58	67	53	102	28
TNFRSF14	12	9	6	9	8
ZRANB2	168	123	98	181	104
ZRANB2-AS2	1	0	1	2	0
NEGR1	1	1	2	3	1
RP11-262K1.1	0	1	0	0	0
RP4-598G3.1	1	0	0	0	0
LRRIQ3	3	4	2	3	0
FPGT	0	1	0	0	1
C1orf173	0	0	1	0	0
CRYZ	316	363	247	348	240
TYW3	77	91	62	69	62
LHX8	0	0	0	0	0
SLC44A5	10	2	10	10	13
FAM213B	0	0	0	0	0
ACADM	142	133	181	160	180
RABGGTB	403	363	380	585	317
MSH4	0	0	0	0	1
ST6GALNAC3	2	3	6	2	1
ST6GALNAC5	27	53	29	36	23
PIGK	156	155	125	206	124
AK5	6	1	5	1	2
ZZZ3	111	127	129	118	111
USP33	188	126	174	192	212
FAM73A	121	100	82	114	78
NEXN-AS1	4	0	2	0	1
NEXN	108	101	86	84	71
FUBP1	456	519	417	780	411
DNAJB4	28	45	88	118	60
GIPC2	8	4	14	9	19
PTGFR	0	1	0	0	1
IFI44L	1	1	0	1	234
IFI44	2	4	3	2	174
ELTD1	0	0	0	1	0
LPHN2	63	82	78	102	3
RP11-170N11.1	0	0	0	1	0
RP11-475O6.1	0	0	1	1	0
TTLL7	11	7	4	5	7
PRKACB	115	72	74	96	46
SAMD13	6	3	5	8	3
PRDM16	0	0	1	0	0
RPF1	156	181	152	181	165
GNG5	769	699	414	983	569
SPATA1	9	7	9	7	6
CTBS	22	10	10	10	11
SSX2IP	104	105	108	129	127
LPAR3	72	66	59	70	131
MCOLN2	0	15	4	5	0
MCOLN3	3	14	3	8	1
WDR63	11	7	18	18	8
SYDE2	13	5	6	2	7
C1orf52	88	67	74	90	76
BCL10	530	375	535	794	404
LOC646626	3	2	0	1	0
DDAH1	47	24	57	55	16
LOC101930232	0	0	0	0	0
CYR61	1878	1223	1440	2497	350
ZNHIT6	181	155	102	182	124
COL24A1	1	0	0	0	0
ODF2L	32	36	47	43	52
ARHGEF16	10	2	4	6	7
CLCA2	795	326	256	300	1208
CLCA4	2	0	0	0	0
CLCA3P	1	2	1	3	0
SH3GLB1	499	386	319	474	329
SEP15	513	500	451	504	389
HS2ST1	161	114	107	105	111
LINC01140	0	0	0	1	1
LOC101927844	0	0	0	0	0
LMO4	270	282	308	398	294
MEGF6	0	4	4	2	6
RP11-76N22.2	0	0	1	0	0
PKN2	239	176	159	197	146
GTF2B	115	114	155	124	139
CCBL2	103	88	100	133	130
RBMXL1	3	1	1	0	0
GBP3	116	59	121	114	58
GBP1	62	34	77	55	124
GBP2	2	0	1	1	5
GBP4	6	1	6	6	1
GBP5	1	0	0	0	0
GBP6	50	43	38	42	14
GBP1P1	0	1	0	0	0
LRRC8B	38	41	36	54	34
FLJ27354	3	2	0	0	1
LRRC8C	570	397	340	458	114
LOC101927933	0	0	1	0	0
LOC101927975	0	0	0	0	0
LRRC8D	159	138	126	163	135
GEMIN8P4	2	2	1	5	9
ZNF326	131	99	116	140	95
LOC149351	0	0	1	0	1
ZNF644	118	106	84	91	63
HFM1	1	0	2	0	0
CDC7	62	42	34	47	61
TGFBR3	2	3	1	9	30
EPHX4	6	3	3	1	1
BTBD8	4	3	3	1	0
KIAA1107	12	8	15	4	5
C1orf146	0	1	1	0	1
GLMN	63	67	42	74	67
RPAP2	70	68	42	74	63
GFI1	1	0	0	0	0
EVI5	270	214	145	170	178
TPRG1L	42	26	19	24	47
RPL5	149	146	49	119	93
FAM69A	3	2	0	0	0
MTF2	126	76	79	116	100
WRAP73	24	7	13	19	24
TMED5	228	234	248	225	161
CCDC18	42	36	55	39	49
LOC100131564	55	24	40	71	43
DR1	341	297	295	413	363
FNBP1L	65	77	85	112	70
BCAR3	194	223	183	188	187
LOC102723480	0	0	0	0	0
DNTTIP2	224	213	198	215	211
GCLM	395	260	269	363	91
TP73	2	0	0	3	11
ARHGAP29	692	472	641	612	478
ABCD3	249	246	267	276	242
F3	10023	7714	8090	9917	2148
LOC102723542	3	1	2	10	0
LINC01057	1	0	0	1	0
SLC44A3	6	6	0	2	7
CNN3	728	546	597	955	262
RP4-639F20.1	1	1	2	0	2
ALG14	42	35	28	34	24
RWDD3	53	49	62	105	66
FLJ31662	0	0	0	0	0
PTBP2	50	41	26	36	44
DPYD	19	23	27	24	12
MIR137HG	0	1	0	0	0
RP5-1070A16.1	5	2	1	0	0
SNX7	169	173	145	179	116
LPPR5	0	0	0	0	3
LPPR4	0	0	0	2	0
PALMD	17	8	8	17	42
FRRS1	12	6	1	1	3
AGL	98	71	46	55	37
SLC35A3	120	109	101	129	171
HIAT1	211	117	162	110	234
SASS6	56	51	35	34	48
TRMT13	8	10	4	3	4
LRRC39	1	1	0	0	0
DBT	120	84	97	149	162
RTCA	235	226	194	341	213
TP73-AS1	22	9	20	32	13
CDC14A	10	9	10	5	5
EXTL2	109	127	61	122	69
SLC30A7	22	21	10	19	11
DPH5	2	7	3	4	4
LOC102606465	16	21	26	38	25
S1PR1	1	0	0	1	0
COL11A1	1	2	2	0	0
RNPC3	39	38	27	33	30
AMY2B	3	1	4	2	5
SMIM1	6	0	2	2	0
AMY2A	1	0	0	0	0
PRMT6	136	136	86	162	51
NTNG1	43	28	35	26	0
LRRC47	125	96	48	119	122
VAV3	37	18	60	103	199
CEP104	75	40	53	65	63
SLC25A24	398	386	371	461	238
LOC400768	1	0	0	0	0
FAM102B	11	15	14	15	48
HENMT1	1	3	0	0	8
PRPF38B	227	273	222	292	228
DFFB	4	6	11	13	4
STXBP3	110	144	143	190	143
AKNAD1	5	2	0	3	1
SPATA42	0	0	0	0	2
GPSM2	99	71	47	24	50
CLCC1	163	93	60	76	97
WDR47	87	66	65	75	100
TAF13	9	6	2	3	2
TMEM167B	97	98	109	147	122
SCARNA2	0	1	0	0	1
C1orf194	0	0	0	0	0
KIAA1324	7	0	0	1	3
C1orf174	90	69	73	101	124
SARS	286	256	92	205	92
CELSR2	131	76	66	198	150
PSRC1	48	44	28	103	50
MYBPHL	1	0	0	0	0
SORT1	22	10	11	18	15
PSMA5	356	155	212	150	243
ATXN7L2	5	6	1	2	4
CYB561D1	22	20	8	14	10
AMIGO1	1	0	0	0	0
LOC101928560	1	0	2	0	0
GNAI3	733	681	578	878	505
GNAT2	2	1	1	2	1
AMPD2	53	23	24	35	29
GSTM4	8	0	3	5	9
AJAP1	36	25	18	15	39
GSTM1	2	0	0	0	0
GSTM3	58	1	18	34	63
CSF1	15	0	3	6	1
AHCYL1	462	331	210	478	383
STRIP1	75	42	44	63	63
ALX3	0	0	0	0	0
SLC6A17	1	0	0	1	2
KCNC4-AS1	1	0	0	0	0
RP5-1074L1.1	1	1	0	1	0
RBM15	112	132	64	101	72
SLC16A4	38	14	19	19	8
LAMTOR5	257	266	219	316	296
LAMTOR5-AS1	0	0	0	0	2
LRIF1	25	19	25	19	11
LOC101928706	0	0	0	0	0
DRAM2	119	102	121	134	164
CEPT1	99	91	123	156	113
NPHP4	20	21	25	17	33
DENND2D	23	11	15	21	15
CHI3L2	0	0	0	2	0
PIFO	7	1	6	11	17
OVGP1	1	2	1	0	5
WDR77	99	90	76	142	109
ATP5F1	1126	1077	744	1403	898
C1orf162	0	0	1	1	1
LINC01160	1	0	0	1	0
RAP1A	418	397	448	496	497
FAM212B	28	11	4	16	8
DDX20	88	94	36	62	81
LOC643355	14	3	40	13	50
CTTNBP2NL	53	18	14	13	24
WNT2B	2	1	1	0	2
ST7L	23	17	8	22	22
CAPZA1	1945	1708	1544	2252	1482
MOV10	27	9	14	14	30
RHOC	213	88	113	162	251
PPM1J	29	16	11	24	20
FAM19A3	0	1	0	1	0
RP11-426L16.8	0	1	0	2	2
SLC16A1	646	579	632	763	646
SLC16A1-AS1	5	5	4	2	4
LOC101930375	1	0	0	2	0
RP11-31F15.2	4	3	1	14	4
LRIG2	47	21	14	13	17
LOC102723919	17	8	11	14	11
MAGI3	58	29	38	39	37
PHTF1	59	32	24	42	15
RSBN1	96	100	95	88	90
PTPN22	1	0	0	2	0
KCNAB2	7	5	2	14	7
BCL2L15	0	0	0	0	0
AP4B1	0	1	1	2	1
DCLRE1B	81	45	34	46	55
RP5-1073O3.7	0	0	1	0	1
HIPK1	195	146	155	166	176
OLFML3	38	11	12	25	3
TRIM33	243	227	191	202	155
BCAS2	123	128	92	100	96
DENND2C	56	38	13	24	43
NRAS	415	327	264	321	233
CSDE1	2055	2014	1582	2360	1736
SIKE1	214	170	180	282	200
LOC100288069	1	0	0	0	0
TSPAN2	15	5	4	4	7
NGF	10	16	1	12	0
VANGL1	283	178	158	173	214
NHLH2	3	0	16	16	12
SLC22A15	45	19	38	40	53
MAB21L3	2	3	1	0	0
ATP1A1	73	71	45	38	44
CHD5	0	0	0	0	1
RP4-655J12.4	0	0	0	0	0
CD58	76	59	74	74	71
RPL22	587	485	458	624	681
IGSF3	572	382	377	583	320
LOC102724450	0	0	1	1	0
C1orf137	1	0	0	0	1
PTGFRN	1256	696	621	1099	680
CD101	1	1	0	0	1
TTF2	70	76	95	98	89
TRIM45	6	4	3	6	5
RNF207	16	9	8	7	1
MAN1A2	290	221	161	231	189
FAM46C	1	0	1	1	5
GDAP2	81	53	56	53	37
WDR3	41	23	30	29	17
SPAG17	0	0	0	0	4
LOC100287934	0	1	0	0	0
WARS2	32	28	39	51	38
RP11-418J17.1	1	0	2	2	0
ICMT	219	172	70	182	191
HSD3B2	0	0	0	0	0
HSD3BP4	1	1	2	0	0
LINC00622	1	1	3	4	2
ZNF697	33	22	28	36	18
PHGDH	367	164	108	368	357
NOTCH2	264	247	217	295	258
LINC00337	1	1	0	0	0
LOC101929178	0	0	0	0	0
SEC22B	45	43	64	58	36
LOC101929786	1	0	0	3	0
NBPF8	8	9	5	4	19
LOC100996724	2	0	2	0	0
LOC101929796	2	2	0	0	2
NBPF26	2	2	1	0	2
GPR153	113	113	52	126	32
RNVU1-19	0	0	0	0	0
LINC00623	30	3	22	10	22
ACOT7	143	89	37	114	80
TRNAN-GUU	0	1	0	1	0
FAM72B	0	2	0	0	0
LOC102724451	0	0	0	0	0
EMBP1	5	3	0	4	0
LOC101929561	1	0	0	0	0
LOC388692	38	25	11	43	9
FAM72C	5	0	7	7	7
SRGAP2D	2	1	0	1	2
HES2	37	49	40	56	27
ESPN	7	0	1	10	2
NBPF15	9	7	4	6	9
SRGAP2B	0	2	1	0	1
FAM72D	8	5	4	13	13
LOC101929805	2	0	0	0	0
LOC100996741	2	1	1	2	3
RNVU1-14	0	0	0	0	0
NBPF20	51	31	29	50	50
TNFRSF25	4	4	3	12	10
NBPF25P	4	6	2	3	1
GPR89A	10	3	4	5	9
PDZK1	13	4	4	9	3
CD160	4	3	3	6	2
RNF115	130	111	58	110	64
POLR3C	27	12	8	15	20
PIAS3	146	127	58	191	70
LINC00115	0	1	2	1	1
ITGA10	3	1	1	3	1
PEX11B	172	126	102	237	131
