"lako1"	"lako2"	"lako3"	"lako4"
"AP000781.1"	0	0	2	2
"SSRP1"	656	334	440	984
"PRG2"	1	3	15	23
"SLC43A3"	43	39	64	57
"RTN4RL2"	3	1	4	7
"SLC43A1"	1	2	3	2
"TIMM10"	1217	846	993	1896
"UBE2L6"	273	169	175	558
"SERPING1"	232	267	201	939
"AP000662.1"	3	4	2	5
"YPEL4"	10	3	7	8
"CLP1"	143	119	83	200
"ZDHHC5"	841	400	505	1351
"MED19"	964	557	543	1186
"TMX2"	720	423	371	1009
"SELENOH"	2590	1752	1754	4348
"BTBD18"	3	0	0	1
"CTNND1"	2250	1225	1848	3420
"LPXN"	36	15	15	51
"ZFP91"	1092	786	987	1842
"AP001350.1"	1	0	1	0
"CNTF"	2	2	0	2
"GLYATL2"	1	0	0	0
"GLYATL1"	0	0	0	0
"AP001636.3"	0	0	0	0
"FAM111B"	45	7	20	123
"FAM111A-DT"	58	45	45	113
"FAM111A"	291	133	181	628
"DTX4"	9	10	4	13
"MPEG1"	1	0	0	3
"OR4D9"	5	6	13	12
"AP003778.1"	4	6	2	2
"LINC02739"	35	17	24	54
"AP000442.1"	12	17	6	26
"OSBP"	553	300	435	751
"PATL1"	209	154	268	419
"AP000640.2"	2	3	2	3
"STX3"	946	435	682	866
"AP000640.1"	4	4	0	2
"MRPL16"	354	244	178	531
"TCN1"	1	0	2	5
"MS4A2"	0	2	2	1
"LINC02705"	0	0	0	0
"MS4A6A"	3	0	1	5
"MS4A4A"	0	1	0	0
"MS4A4E"	1	1	4	10
"MS4A7"	0	0	2	3
"MS4A14"	0	0	0	0
"MS4A1"	0	0	0	1
"CCDC86"	275	135	124	289
"PTGDR2"	0	0	0	0
"ZP1"	1	0	0	0
"PRPF19"	437	191	258	797
"AP003721.4"	0	2	1	1
"AP003721.3"	0	0	0	0
"TMEM109"	655	314	330	1063
"AP003721.1"	1	0	0	3
"TMEM132A"	20	6	12	34
"SLC15A3"	24	20	25	70
"CD6"	0	0	0	1
"CD5"	0	0	0	0
"VPS37C"	103	63	102	174
"VWCE"	18	8	13	19
"DDB1"	1002	471	675	1336
"TKFC"	207	116	125	385
"CYB561A3"	248	132	161	474
"TMEM138"	235	148	158	447
"TMEM216"	160	71	85	269
"CPSF7"	410	222	279	562
"SDHAF2"	442	316	307	755
"PPP1R32"	16	6	14	21
"AP003108.1"	4	0	0	4
"LRRC10B"	0	0	0	0
"SYT7"	11	7	17	18
"AP003559.1"	3	0	0	1
"DAGLA"	16	10	9	39
"MYRF"	1	1	1	3
"TMEM258"	4153	2952	3191	7643
"FEN1"	256	97	106	364
"FADS2"	61	22	63	72
"FADS1"	150	65	116	183
"FADS3"	284	131	182	357
"RAB3IL1"	9	11	7	8
"BEST1"	321	112	207	337
"FTH1"	352247	247973	278503	635773
"LINC02733"	0	0	0	4
"AP002793.1"	2	0	0	0
"INCENP"	59	25	34	72
"SCGB2A1"	641	183	231	890
"SCGB1D2"	8	2	6	7
"SCGB2A2"	1	0	0	0
"AP003306.2"	2	0	0	4
"ASRGL1"	7	4	0	12
"AHNAK"	7551	4064	5527	10398
"AP001363.2"	15	24	30	41
"EEF1G"	13608	12451	12224	21677
"TUT1"	99	45	79	196
"MTA2"	193	104	171	397
"EML3"	456	240	241	730
"ROM1"	37	38	30	79
"B3GAT3"	591	379	390	915
"GANAB"	803	366	580	1204
"INTS5"	63	38	49	133
"C11orf98"	46	45	17	138
"LBHD1"	14	4	2	14
"CSKMT"	341	244	297	508
"UQCC3"	771	380	462	1289
"UBXN1"	2109	1449	1264	2636
"LRRN4CL"	10	14	19	27
"BSCL2"	390	291	259	668
"GNG3"	4	3	1	2
"HNRNPUL2"	673	315	439	1126
"TTC9C"	197	102	111	265
"ZBTB3"	27	12	13	58
"POLR2G"	1073	589	758	1536
"AP001160.2"	21	11	9	17
"TAF6L"	147	74	96	288
"TMEM223"	354	137	157	464
"AP001160.3"	38	33	27	66
"TMEM179B"	1042	513	727	1634
"NXF1"	286	172	322	584
"STX5"	485	370	535	831
"AP001160.4"	10	6	10	37
"AP001160.1"	106	75	117	192
"WDR74"	664	401	451	1174
"SNHG1"	919	658	873	1527
"SLC3A2"	6186	4293	3807	7991
"AP000438.1"	0	1	1	0
"PLAAT5"	14	5	12	13
"PLAAT4"	911	395	704	1879
"PLAAT2"	375	186	265	377
"PLAAT3"	417	156	278	394
"ATL3"	753	414	430	1394
"RTN3"	1354	746	878	1735
"C11orf95"	28	26	36	51
"SPINDOC"	102	66	84	127
"MARK2"	347	218	288	653
"RCOR2"	4	0	4	2
"NAA40"	88	23	66	129
"COX8A"	3230	2327	2747	6030
"OTUB1"	851	450	670	1499
"MACROD1"	424	223	297	667
"AP006333.2"	0	0	0	0
"FLRT1"	1	0	0	0
"AP006333.1"	10	11	6	21
"STIP1"	1087	443	518	1213
"FERMT3"	2	3	3	7
"TRPT1"	260	151	222	462
"NUDT22"	489	195	282	781
"AP001453.1"	0	4	3	3
"DNAJC4"	600	465	513	1039
"VEGFB"	723	351	490	981
"FKBP2"	350	466	206	817
"AP001453.3"	2	2	1	4
"PPP1R14B"	6877	2793	3580	8843
"PPP1R14B-AS1"	576	201	431	675
"AP001453.2"	4	8	7	7
"PLCB3"	224	78	97	367
"BAD"	1090	572	891	1984
"GPR137"	252	140	151	509
"KCNK4"	0	0	0	0
"CATSPERZ"	4	2	4	2
"ESRRA"	370	237	381	969
"TRMT112"	5084	3656	3486	8585
"PRDX5"	15807	9128	11489	25696
"AP003774.2"	0	1	1	1
"CCDC88B"	70	30	39	119
"RPS6KA4"	172	47	94	445
"SLC22A11"	0	0	1	0
"NRXN2"	3	0	1	1
"RASGRP2"	387	133	309	342
"PYGM"	7	1	10	9
"SF1"	3558	1811	2017	4584
"AP001462.1"	36	22	19	55
"MAP4K2"	91	46	67	141
"MEN1"	111	45	79	187
"CDC42BPG"	158	77	114	411
"EHD1"	390	212	421	478
"MIR194-2HG"	3	4	8	9
"ATG2A"	282	161	209	411
"PPP2R5B"	210	146	128	328
"GPHA2"	1387	2970	5332	22211
"MAJIN"	14	21	28	28
"BATF2"	7	6	4	23
"ARL2"	914	768	790	1707
"SNX15"	225	122	120	382
"SAC3D1"	248	90	106	551
"NAALADL1"	31	43	42	58
"CDCA5"	55	30	27	91
"ZFPL1"	312	196	230	545
"TMEM262"	2	0	1	2
"VPS51"	372	309	452	804
"AP003068.1"	0	1	2	2
"TM7SF2"	130	49	109	184
"ZNHIT2"	167	68	64	274
"FAU"	27163	21576	23998	46015
"SYVN1"	376	323	212	633
"MRPL49"	528	282	285	695
"AP003068.2"	81	63	90	167
"CAPN1"	2520	1024	1463	4213
"AP000944.6"	0	0	0	1
"POLA2"	56	29	22	87
"AP000944.7"	0	0	0	0
"CDC42EP2"	13	22	18	28
"DPF2"	291	174	189	430
"TIGD3"	7	5	3	9
"SLC25A45"	108	39	33	130
"FRMD8"	522	245	180	486
"NEAT1"	29906	21458	57062	109174
"LINC02736"	8	2	0	3
"AP000769.6"	3	5	1	1
"MALAT1"	735063	485520	408371	1051986
"AP000769.2"	9	2	4	8
"SCYL1"	314	178	232	510
"LTBP3"	1239	610	587	1683
"SSSCA1-AS1"	48	17	25	44
"ZNRD2"	1013	749	662	1598
"FAM89B"	536	399	375	876
"EHBP1L1"	230	102	162	622
"KCNK7"	2	6	6	16
"MAP3K11"	208	161	268	492
"PCNX3"	59	35	64	219
"SIPA1"	312	143	157	439
"RELA"	609	373	502	784
"RELA-DT"	179	84	97	232
"KAT5"	449	278	265	582
"RNASEH2C"	822	489	388	1124
"AP5B1"	556	360	496	730
"OVOL1"	1901	1797	2411	2982
"OVOL1-AS1"	17	5	3	18
"AP001266.1"	3	5	14	8
"CFL1"	8851	6667	7655	14608
"SNX32"	2	3	1	6
"MUS81"	170	111	76	219
"EFEMP2"	78	96	107	203
"CTSW"	0	0	0	1
"FIBP"	676	333	335	999
"CCDC85B"	1803	1375	934	2721
"FOSL1"	1919	2497	3925	2527
"C11orf68"	543	343	462	564
"DRAP1"	3076	1659	1859	3279
"TSGA10IP"	0	0	0	0
"SART1"	328	191	219	490
"EIF1AD"	317	153	180	358
"BANF1"	1835	1064	1136	3271
"CST6"	2	0	6	1
"CATSPER1"	0	0	0	0
"GAL3ST3"	0	0	0	0
"SF3B2"	1584	753	908	2094
"AP006287.2"	0	2	1	3
"PACS1"	183	151	194	459
"AP000759.1"	2	3	0	2
"KLC2"	95	37	60	133
"AP001107.4"	0	2	1	1
"AP001107.7"	0	0	0	1
"RAB1B"	612	393	561	1278
"AP001107.1"	3	2	4	2
"AP001107.2"	7	4	4	9
"CNIH2"	13	12	14	27
"YIF1A"	932	406	479	1320
"TMEM151A"	1	1	0	1
"CD248"	3	5	6	6
"RIN1"	295	87	162	567
"AP001107.6"	1	0	0	0
"BRMS1"	550	273	331	938
"B4GAT1"	120	58	68	214
"AP001107.9"	22	28	28	54
"SLC29A2"	12	9	7	10
"AP001107.5"	1	3	2	5
"NPAS4"	0	11	0	2
"MRPL11"	879	670	559	1360
"PELI3"	42	22	44	83
"AP002748.4"	69	68	63	122
"DPP3"	202	90	119	361
"BBS1"	59	50	64	149
"AP002748.6"	0	2	0	1
"ZDHHC24"	220	116	122	315
"ACTN3"	0	0	2	0
"CTSF"	922	512	535	1493
"CCDC87"	0	1	0	2
"CCS"	621	406	375	1070
"RBM14"	528	214	256	544
"RBM4"	2166	1259	1604	2532
"RBM4B"	161	99	103	283
"SPTBN2"	255	96	194	467
"C11orf80"	209	102	141	358
"RCE1"	247	185	160	352
"PC"	82	29	33	158
"LRFN4"	48	26	37	106
"SYT12"	4	3	7	7
"RHOD"	1070	569	1087	1781
"KDM2A"	841	642	850	1343
"AP001885.3"	1	0	0	0
"GRK2"	215	174	229	506
"ANKRD13D"	422	196	170	649
"SSH3"	418	176	277	914
"AP001885.2"	28	20	13	50
"RAD9A"	674	216	200	659
"POLD4"	921	566	820	1633
"AP003419.2"	1	2	3	6
"CLCF1"	1205	1573	2108	1415
"AP003419.3"	13	5	9	23
"PPP1CA"	1961	839	1263	3236
"TBC1D10C"	0	1	1	3
"CARNS1"	0	1	0	4
"RPS6KB2"	292	190	230	563
"RPS6KB2-AS1"	11	11	2	7
"CORO1B"	760	374	481	1118
"CABP4"	0	2	3	2
"TMEM134"	1650	871	1089	2758
"AIP"	651	411	435	1092
"PITPNM1"	82	82	78	221
"CDK2AP2"	702	349	352	1025
"GSTP1"	53826	26811	24625	75388
"C11orf72"	0	0	3	3
"NDUFV1"	1230	828	877	1900
"NUDT8"	496	288	265	898
"ACY3"	1	1	0	3
"ALDH3B2"	3	1	0	11
"LINC02754"	79	104	130	225
"UNC93B1"	228	118	151	455
"ALDH3B1"	11	6	29	30
"NDUFS8"	1883	1084	1208	3199
"TCIRG1"	124	86	126	313
"AP002807.1"	9	10	6	38
"CHKA"	100	90	86	123
"AP002992.1"	0	0	0	0
"KMT5B"	458	269	310	731
"C11orf24"	129	41	71	165
"AP002813.1"	9	8	13	25
"LRP5"	118	66	138	274
"PPP6R3"	501	312	425	856
"GAL"	10	4	19	10
"TESMIN"	63	33	38	54
"CPT1A"	65	141	76	170
"LINC02701"	0	0	0	0
"MRPL21"	1088	662	630	1521
"IGHMBP2"	99	46	57	127
"AP003071.4"	0	0	0	0
"MRGPRF"	5	0	0	6
"MRGPRF-AS1"	0	0	0	0
"TPCN2"	36	24	20	81
"SMIM38"	0	1	0	0
"MYEOV"	52	12	66	49
"AP005233.2"	0	0	1	1
"AP000439.1"	4	3	3	7
"LINC02747"	4	1	0	0
"CCND1"	3634	1044	1735	5318
"LTO1"	140	71	86	238
"AP003555.1"	0	0	0	0
"ANO1"	1	2	4	15
"FADD"	235	53	88	312
"AP000879.1"	1	0	0	0
"PPFIA1"	606	242	350	786
"AP002336.2"	1	0	0	2
"AP002336.1"	14	16	21	18
"AP000487.2"	1	0	2	1
"AP000487.1"	16	18	29	29
"CTTN"	1509	847	1044	2573
"SHANK2"	13	4	8	3
"DHCR7"	287	86	99	242
"AP002387.2"	96	93	59	101
"NADSYN1"	461	201	255	806
"KRTAP5-8"	2	0	0	4
"KRTAP5-9"	2	0	4	2
"KRTAP5-10"	4	2	2	7
"ALG1L9P"	11	4	5	26
"AP003498.1"	1	0	0	2
"AP003498.2"	943	761	601	1068
"FAM86C1"	53	12	24	80
"ZNF705E"	0	0	0	4
"AP002495.1"	80	37	31	128
"RNF121"	229	114	125	302
"IL18BP"	5	7	11	55
"NUMA1"	810	465	631	1405
"AP002490.1"	13	6	4	13
"LRTOMT"	77	52	59	125
"LAMTOR1"	1173	759	702	2279
"ANAPC15"	641	473	451	1296
"FOLR3"	2	0	0	0
"FOLR1"	0	0	2	0
"FOLR2"	1	0	0	2
"INPPL1"	153	103	139	360
"AP000593.4"	1	3	0	2
"CLPB"	107	55	73	186
"PDE2A"	1	0	1	2
"ARAP1"	83	46	59	272
"ARAP1-AS1"	0	0	0	0
"ARAP1-AS2"	0	0	0	0
"STARD10"	597	393	527	1049
"AP002381.2"	100	70	91	176
"ATG16L2"	103	47	75	265
"FCHSD2"	80	43	59	119
"P2RY2"	93	34	47	155
"AP002761.4"	10	3	4	28
"P2RY6"	15	3	6	45
"AP002761.3"	7	1	2	7
"ARHGEF17"	40	21	33	83
"RELT"	188	145	279	246
"AP000763.4"	0	0	2	1
"FAM168A"	72	83	91	171
"AP000763.3"	2	1	14	10
"PLEKHB1"	5	1	5	8
"RAB6A"	814	340	349	943
"AP002770.1"	0	1	0	0
"MRPL48"	239	172	146	516
"COA4"	1171	637	521	1697
"PAAF1"	334	175	194	417
"DNAJB13"	0	0	2	1
"UCP2"	18	17	20	48
"AP003717.4"	4	0	2	4
"UCP3"	1	1	1	6
"C2CD3"	104	46	47	139
"PPME1"	483	187	195	472
"P4HA3"	18	4	3	35
"PGM2L1"	205	84	91	174
"AP001085.1"	0	0	1	0
"KCNE3"	3	1	0	2
"AP001372.3"	0	0	0	0
"LIPT2"	19	16	14	55
"AP001372.2"	121	43	37	140
"POLD3"	214	117	120	412
"CHRDL2"	0	0	1	1
"RNF169"	295	187	181	423
"XRRA1"	207	90	113	393
"AP001992.2"	2	0	0	5
"SPCS2"	3282	1925	2353	5114
"NEU3"	37	12	25	57
"SLCO2B1"	0	0	1	5
"TPBGL"	0	0	0	0
"ARRB1"	35	10	12	40
"RPS3"	32836	31440	33680	60864
"KLHL35"	127	31	28	96
"GDPD5"	2	1	4	3
"SERPINH1"	1705	344	263	947
"AP001922.5"	3	2	0	2
"MAP6"	2	5	2	4
"DGAT2"	4	3	1	1
"UVRAG"	225	127	164	366
"AP003168.2"	2	4	1	8
"WNT11"	4	6	15	4
"THAP12"	326	221	242	592
"GVQW3"	62	27	35	74
"AP002360.1"	180	168	128	204
"EMSY"	184	128	111	272
"LINC02757"	0	0	0	0
"AP001189.5"	0	0	0	0
"LRRC32"	1	3	1	0
"TSKU"	630	257	332	1139
"AP003119.2"	27	22	28	112
"AP003119.3"	3	3	4	19
"ACER3"	340	130	185	423
"AP002498.1"	0	0	1	0
"CAPN5"	118	35	49	187
"MYO7A"	0	1	0	5
"PAK1"	167	126	146	219
"AP003680.1"	6	1	6	6
"CLNS1A"	1241	879	1126	1937
"AQP11"	3	1	4	3
"RSF1"	1735	933	1046	2324
"RSF1-IT2"	10	3	4	11
"RSF1-IT1"	16	1	6	7
"AAMDC"	671	524	470	1247
"AP002812.5"	0	1	0	2
"INTS4"	120	52	63	156
"KCTD14"	13	23	14	30
"AP003032.1"	1	7	8	5
"NDUFC2"	3476	2132	1956	5634
"ALG8"	241	113	168	358
"KCTD21-AS1"	27	16	14	24
"KCTD21"	33	11	19	33
"USP35"	12	6	10	18
"GAB2"	2	3	3	11
"LINC02728"	3	4	2	13
"NARS2"	171	87	105	238
"TENM4"	72	66	72	252
"MIR4300HG"	1	0	0	1
"FAM181B"	109	67	50	233
"PRCP"	435	326	387	966
"DDIAS"	44	15	15	64
"AP000893.2"	0	0	1	0
"RAB30"	178	183	131	236
"RAB30-DT"	321	186	197	480
"PCF11"	841	551	870	1495
"AP000873.4"	1	0	3	0
"AP000873.2"	151	110	85	182
"PCF11-AS1"	36	26	29	42
"ANKRD42"	93	63	69	134
"CCDC90B"	1077	683	735	1575
"AP000446.1"	1	0	2	3
"DLG2"	121	86	75	189
"AP001825.1"	0	0	0	0
"TMEM126B"	627	437	346	988
"TMEM126A"	547	438	389	888
"CREBZF"	741	349	381	992
"CCDC89"	1	0	3	1
"SYTL2"	19	11	5	14
"PICALM"	478	286	354	753
"EED"	271	138	157	368
"HIKESHI"	1245	750	649	1926
"CCDC81"	6	0	5	3
"ME3"	65	36	17	94
"AP003059.1"	5	3	0	11
"PRSS23"	527	518	355	1546
"AP000654.1"	1	1	0	2
"AP001528.1"	4	2	7	6
"FZD4"	5	3	1	7
"FZD4-DT"	9	2	2	13
"TMEM135"	101	52	61	172
"AP005436.1"	1	3	3	3
"RAB38"	572	259	429	810
"CTSC"	2731	735	626	2535
"AP003120.1"	7	7	6	19
"GRM5"	0	0	0	1
"TYR"	3	8	2	22
"NOX4"	3	0	10	4
"AP000648.9"	4	6	9	10
"NAALAD2"	2	0	0	2
"CHORDC1"	1974	361	417	942
"DISC1FP1"	0	0	0	0
"FAT3"	2	0	1	2
"SLC36A4"	390	170	282	534
"DEUP1"	0	0	0	0
"SMCO4"	18	33	35	38
"CEP295"	202	83	77	323
"SCARNA9"	1	1	0	2
"TAF1D"	2212	1338	1249	2097
"C11orf54"	364	200	207	615
"MED17"	517	248	297	525
"HEPHL1"	9	7	0	9
"PANX1"	180	159	334	355
"AP002784.1"	25	26	72	63
"GPR83"	25	71	61	50
"MRE11"	396	225	309	632
"AP000786.1"	1	1	2	5
"ANKRD49"	348	334	230	679
"C11orf97"	30	20	14	46
"FUT4"	58	31	33	86
"PIWIL4"	31	17	18	58
"AP000943.2"	0	0	0	1
"AMOTL1"	250	200	257	741
"CWC15"	1497	923	758	1991
"KDM4D"	27	7	11	36
"SRSF8"	536	356	426	817
"ENDOD1"	264	97	105	312
"AP000787.1"	21	17	18	53
"SESN3"	316	236	321	899
"FAM76B"	267	146	174	440
"CEP57"	513	321	326	828
"MTMR2"	145	90	111	222
"MAML2"	360	321	312	713
"AP000779.1"	1	0	0	0
"CCDC82"	430	213	282	664
"JRKL"	182	66	53	198
"CNTN5"	15	4	6	11
"AP001351.1"	1	3	5	4
"ARHGAP42"	134	54	75	171
"PGR"	2	1	0	2
"PGR-AS1"	0	1	0	0
"TRPC6"	1	0	0	1
"ANGPTL5"	13	11	5	25
"CEP126"	77	104	65	166
"CFAP300"	113	89	92	169
"AP001527.1"	1	4	1	3
"AP001527.2"	49	46	35	72
"YAP1"	1534	953	1202	2423
"AP000942.2"	0	0	0	1
"BIRC3"	373	257	435	562
"BIRC2"	599	551	747	1247
"TMEM123"	2390	1526	2168	4347
"AP001830.1"	24	11	37	28
"MMP7"	5	2	1	11
"MMP27"	8	18	13	18
"MMP10"	2007	2145	2947	1396
"MMP1"	721	98	232	343
"MMP3"	139	23	48	28
"MMP12"	9	1	9	1
"DCUN1D5"	613	376	473	981
"DYNC2H1"	75	83	75	197
"PDGFD"	99	92	63	97
"LINC02552"	9	4	3	14
"CASP4"	722	454	608	1163
"CASP5"	1	0	0	0
"CASP1"	217	158	201	444
"CARD16"	163	171	180	423
"CARD17"	0	0	0	0
"CARD18"	0	0	0	0
"GRIA4"	12	7	23	22
"MSANTD4"	172	78	71	226
"KBTBD3"	203	127	194	351
"AASDHPPT"	695	326	367	915
"GUCY1A2"	6	2	1	10
"AP000766.1"	40	18	40	74
"CWF19L2"	621	484	348	954
"ALKBH8"	80	33	53	116
"ELMOD1"	1	2	1	2
"SLN"	0	0	0	1
"SLC35F2"	182	119	120	162
"RAB39A"	2	1	1	1
"AP003307.1"	82	39	38	123
"CUL5"	402	300	357	824
"AP002433.1"	3	9	4	9
"ACAT1"	391	249	402	635
"AP002433.2"	0	3	4	3
"NPAT"	256	162	242	450
"ATM"	423	193	223	767
"C11orf65"	67	33	32	98
"POGLUT3"	317	168	250	567
"EXPH5"	889	602	850	1459
"DDX10"	415	199	251	480
"RDX"	3303	1916	1954	4732
"AP001981.2"	1	0	2	0
"ZC3H12C"	58	44	79	159
"FDX1"	1213	739	738	1766
"ARHGAP20"	28	80	56	55
"LINC02550"	4	6	2	7
"C11orf53"	2	6	4	12
"COLCA1"	11	15	11	34
"COLCA2"	5	11	11	15
"POU2AF1"	0	4	0	2
"AP002008.4"	5	1	2	1
"LAYN"	53	30	51	41
"SIK2"	204	214	276	415
"PPP2R1B"	342	271	351	532
"ALG9"	157	99	105	233
"ALG9-IT1"	4	2	4	2
"FDXACB1"	44	29	31	95
"C11orf1"	1424	1038	1232	2194
"CRYAB"	79007	18078	17390	27990
"HSPB2"	252	118	170	313
"C11orf52"	99	45	48	126
"DIXDC1"	532	306	500	573
"AP000907.2"	3	0	5	0
"DLAT"	214	98	132	347
"PIH1D2"	22	13	8	28
"NKAPD1"	408	296	323	555
"TIMM8B"	2616	1438	1497	4322
"SDHD"	1431	959	975	1798
"IL18"	5342	4724	5271	5698
"TEX12"	0	1	0	3
"BCO2"	1650	943	1097	2009
"PTS"	1056	742	688	1706
"AP002884.3"	14	12	16	35
"LINC02762"	1325	708	603	1840
"LINC02763"	7	5	1	4
"AP000802.1"	2	0	0	0
"NCAM1"	7	8	1	9
"NCAM1-AS1"	0	0	0	0
"AP000880.1"	152	65	118	160
"TTC12"	211	46	100	186
"AP002840.2"	30	11	10	37
"ANKK1"	65	17	28	117
"DRD2"	2	1	0	4
"TMPRSS5"	4	0	1	3
"ZW10"	161	46	75	209
"AP003170.4"	4	4	5	6
"USP28"	321	161	204	576
"HTR3B"	4	3	7	9
"ZBTB16"	215	395	410	410
"NNMT"	98	45	26	176
"AP002518.1"	0	0	0	0
"C11orf71"	252	128	115	260
"RBM7"	654	384	505	742
"REXO2"	1251	660	659	1783
"NXPE2"	0	0	0	1
"CADM1"	429	557	687	1413
"AP000462.3"	1	1	0	5
"AP000997.3"	0	0	0	0
"LINC00900"	24	15	16	66
"BUD13"	137	76	80	210
"AP006216.1"	1	0	1	0
"ZPR1"	462	338	378	561
"APOA1"	1	5	3	2
"APOA1-AS"	7	23	18	11
"SIK3"	540	528	827	678
"PAFAH1B2"	1001	584	692	1560
"SIDT2"	61	67	57	108
"TAGLN"	143	191	230	88
"PCSK7"	679	248	360	959
"RNF214"	175	82	95	297
"BACE1"	169	122	111	270
"BACE1-AS"	17	9	20	36
"AP000892.3"	1	2	1	4
"CEP164"	223	106	84	327
"DSCAML1"	5	9	8	2
"FXYD2"	1	1	2	0
"FXYD6"	4	5	11	19
"TMPRSS13"	58	27	43	107
"IL10RA"	5	4	1	4
"TMPRSS4"	1927	1003	1402	2948
"SCN4B"	1	10	10	54
"SCN2B"	4	10	6	6
"JAML"	5	4	6	3
"MPZL3"	820	449	769	888
"MPZL2"	2980	1386	1797	4344
"CD3E"	1	1	0	7
"CD3D"	0	0	0	8
"CD3G"	0	0	0	1
"UBE4A"	373	201	266	592
"AP001267.1"	6	11	2	18
"ATP5MG"	7498	6185	5693	13332
"AP001267.4"	1	0	0	0
"AP001267.2"	5	6	2	6
"KMT2A"	2088	1231	1261	2607
"AP001267.3"	64	23	36	63
"TTC36"	8	5	10	14
"TMEM25"	234	132	136	352
"IFT46"	104	68	93	190
"ARCN1"	599	327	387	894
"PHLDB1"	222	113	145	399
"AP000941.1"	0	2	0	5
"TREH"	2	1	1	0
"AP002954.1"	1	0	0	1
"AP002954.2"	29	6	5	35
"DDX6"	1615	910	1262	2024
"AP004609.3"	58	45	64	121
"CXCR5"	4	3	5	2
"BCL9L"	256	272	370	613
"UPK2"	5	3	2	3
"CCDC84-DT"	13	6	2	12
"CCDC84"	429	220	179	510
"AP003392.1"	5	5	5	8
"RPS25"	24444	25211	25526	49837
"TRAPPC4"	1007	587	597	1296
"SLC37A4"	140	102	124	299
"AP003392.3"	3	0	2	2
"HYOU1"	235	136	150	409
"AP003392.4"	5	0	0	4
"AP003392.5"	18	16	8	18
"VPS11"	143	79	108	251
"HMBS"	187	83	75	323
"H2AFX"	424	311	418	878
"DPAGT1"	182	102	133	250
"C2CD2L"	168	74	104	317
"HINFP"	129	68	82	195
"ABCG4"	0	2	0	4
"NLRX1"	74	23	41	124
"PDZD3"	4	8	0	9
"CCDC153"	106	44	61	195
"CBL"	155	103	108	234
"MCAM"	78	17	59	149
"RNF26"	124	78	91	229
"USP2"	27	51	51	35
"USP2-AS1"	11	2	8	13
"THY1"	1	0	1	7
"AP003396.5"	0	0	0	0
"AP003393.1"	0	1	2	0
"NECTIN1"	502	597	645	1320
"AP001994.2"	33	23	14	49
"AP001994.3"	4	2	4	11
"LINC02744"	6	1	6	7
"AP001360.1"	7	11	18	34
"TRIM29"	4535	3834	5308	11330
"AP000679.1"	4	3	11	20
"OAF"	192	173	267	233
"POU2F3"	39	45	44	55
"TLCD5"	72	102	36	90
"ARHGEF12"	753	610	623	1364
"GRIK4"	7	9	5	8
"AP004147.1"	5	13	5	22
"TBCEL"	80	42	52	153
"TECTA"	3	0	2	13
"SC5D"	397	208	222	546
"AP000977.1"	1	0	0	0
"SORL1"	265	341	260	550
"AP001977.1"	2	0	0	1
"AP001924.1"	0	0	0	0
"MIR100HG"	77	52	162	256
"BLID"	0	1	2	0
"UBASH3B"	12	7	12	20
"AP002762.3"	0	3	3	10
"AP002762.2"	0	0	0	0
"CRTAM"	0	1	1	3
"JHY"	7	15	7	17
"HSPA8"	21701	3880	3663	10528
"AP000926.2"	23	18	10	36
"CLMP"	304	74	207	169
"GRAMD1B"	119	55	77	129
"SCN3B"	26	21	13	34
"ZNF202"	55	35	22	78
"VWA5A"	449	192	278	920
"TBRG1"	576	414	379	927
"SIAE"	100	52	48	206
"SPA17"	154	109	74	245
"NRGN"	0	1	2	5
"AP000866.5"	0	0	0	1
"VSIG2"	18	10	20	52
"ESAM"	0	0	3	3
"AP000866.2"	10	6	7	10
"MSANTD2"	86	47	72	168
"AP000866.6"	9	1	11	22
"AP000866.1"	19	16	13	50
"ROBO3"	1	11	12	11
"ROBO4"	0	3	1	0
"HEPACAM"	0	0	0	0
"HEPN1"	1	0	1	0
"CCDC15-DT"	18	11	1	33
"CCDC15"	91	30	26	92
"SLC37A2"	24	8	14	33
"TMEM218"	265	232	182	424
"PKNOX2"	1	1	1	1
"FEZ1"	91	37	83	205
"AP000708.1"	6	3	1	10
"EI24"	1074	578	864	2135
"STT3A"	245	126	185	395
"CHEK1"	108	49	47	197
"HYLS1"	105	47	52	144
"PUS3"	290	161	131	268
"DDX25"	77	39	15	51
"AP000842.1"	0	0	0	0
"VSIG10L2"	9	7	10	13
"CDON"	35	19	22	46
"AP000821.2"	1	0	1	0
"RPUSD4"	234	166	158	274
"AP001893.1"	3	3	1	2
"FAM118B"	84	32	46	116
"SRPRA"	810	405	437	1212
"FOXRED1"	188	76	95	331
"TIRAP"	44	15	26	49
"AP001318.2"	14	14	7	14
"DCPS"	345	236	211	651
"GSEC"	93	51	66	184
"ST3GAL4"	493	283	413	720
"KIRREL3"	16	15	21	60
"AP001783.1"	33	24	77	96
"AP002833.1"	0	0	0	0
"ETS1"	80	89	394	69
"FLI1"	1	1	0	3
"SENCR"	1	1	0	2
"KCNJ5"	3	3	8	5
"C11orf45"	3	7	12	10
"TP53AIP1"	13	65	126	112
"ARHGAP32"	240	149	233	482
"BARX2"	68	40	146	77
"AP003500.1"	0	0	0	0
"AP003327.2"	0	0	0	0
"TMEM45B"	18	8	17	34
"NFRKB"	229	90	137	284
"PRDM10"	41	22	30	92
"LINC00167"	12	4	3	9
"APLP2"	4474	1745	2731	6298
