Gene stable ID,Gene stable ID version,Gene name,Chromosome/scaffold name
ENSG00000252693,ENSG00000252693.1,AL391241.1,X
ENSG00000207589,ENSG00000207589.1,MIR508,X
ENSG00000284567,ENSG00000284567.1,MIR223,X
ENSG00000265658,ENSG00000265658.6,MIR3690,X
ENSG00000207081,ENSG00000207081.1,RNU6-616P,X
ENSG00000199705,ENSG00000199705.1,Y_RNA,X
ENSG00000201567,ENSG00000201567.1,RNA5SP510,X
ENSG00000275070,ENSG00000275070.1,Metazoa_SRP,X
ENSG00000212207,ENSG00000212207.1,RNU6-1321P,X
ENSG00000284286,ENSG00000284286.1,MIR718,X
ENSG00000252016,ENSG00000252016.1,AL024493.2,X
ENSG00000240327,ENSG00000240327.3,RN7SL93P,X
ENSG00000251807,ENSG00000251807.1,RNU6-202P,X
ENSG00000212013,ENSG00000212013.1,MIR509-2,X
ENSG00000275268,ENSG00000275268.1,U7,X
ENSG00000212560,ENSG00000212560.1,RNU6-630P,X
ENSG00000283435,ENSG00000283435.1,MIR1321,X
ENSG00000284043,ENSG00000284043.1,MIR20B,X
ENSG00000252454,ENSG00000252454.3,MIR2114,X
ENSG00000266158,ENSG00000266158.2,RN7SL785P,X
ENSG00000201392,ENSG00000201392.1,RNU6-1078P,X
ENSG00000284450,ENSG00000284450.1,MIR664B,X
ENSG00000207025,ENSG00000207025.1,Y_RNA,X
ENSG00000199622,ENSG00000199622.1,RN7SKP20,X
ENSG00000207151,ENSG00000207151.1,Y_RNA,X
ENSG00000277474,ENSG00000277474.1,MIR6894,X
ENSG00000202183,ENSG00000202183.1,AL109931.1,X
ENSG00000284107,ENSG00000284107.1,MIR19B2,X
ENSG00000201285,ENSG00000201285.1,RNA5SP524,X
ENSG00000207486,ENSG00000207486.1,RNU6-1044P,X
ENSG00000206677,ENSG00000206677.2,Y_RNA,X
ENSG00000222796,ENSG00000222796.1,RNU6-383P,X
ENSG00000199885,ENSG00000199885.1,RNU6-330P,X
ENSG00000263600,ENSG00000263600.1,MIR3915,X
ENSG00000211538,ENSG00000211538.1,MIR501,X
ENSG00000252170,ENSG00000252170.2,AL138745.1,X
ENSG00000265789,ENSG00000265789.1,MIR4330,X
ENSG00000200473,ENSG00000200473.1,RNA5SP507,X
ENSG00000239008,ENSG00000239008.1,AL590031.1,X
ENSG00000206826,ENSG00000206826.1,RNU6-974P,X
ENSG00000274430,ENSG00000274430.1,AL353804.3,X
ENSG00000199226,ENSG00000199226.1,RNU6-50P,X
ENSG00000201882,ENSG00000201882.1,AL732366.2,X
ENSG00000201420,ENSG00000201420.1,RNA5SP512,X
ENSG00000277492,ENSG00000277492.1,AL627390.2,X
ENSG00000251954,ENSG00000251954.1,RNU6-496P,X
ENSG00000212241,ENSG00000212241.1,Y_RNA,X
ENSG00000283534,ENSG00000283534.1,MIR374C,X
ENSG00000208883,ENSG00000208883.1,SNORD96B,X
ENSG00000221348,ENSG00000221348.1,MIR548F5,X
ENSG00000207957,ENSG00000207957.1,MIR105-1,X
ENSG00000202051,ENSG00000202051.1,RNU6-382P,X
ENSG00000206733,ENSG00000206733.1,RNU6-641P,X
ENSG00000199424,ENSG00000199424.1,Y_RNA,X
ENSG00000238764,ENSG00000238764.1,AL845433.1,X
ENSG00000201095,ENSG00000201095.1,RNU6-266P,X
ENSG00000252486,ENSG00000252486.1,Y_RNA,X
ENSG00000206663,ENSG00000206663.1,Y_RNA,X
ENSG00000222440,ENSG00000222440.1,RNU2-26P,X
ENSG00000223259,ENSG00000223259.1,RNA5SP508,X
ENSG00000222313,ENSG00000222313.1,RN7SKP267,X
ENSG00000200431,ENSG00000200431.1,RNU4-81P,X
ENSG00000242998,ENSG00000242998.3,RN7SL379P,X
ENSG00000252320,ENSG00000252320.1,RNU6-320P,X
ENSG00000223309,ENSG00000223309.1,RNU6-722P,X
ENSG00000283242,ENSG00000283242.1,MIR384,X
ENSG00000252719,ENSG00000252719.1,AL356785.1,X
ENSG00000264268,ENSG00000264268.1,MIR4767,X
ENSG00000199920,ENSG00000199920.1,RNU4-44P,X
ENSG00000212347,ENSG00000212347.2,AL031584.1,X
ENSG00000277900,ENSG00000277900.1,Metazoa_SRP,X
ENSG00000201674,ENSG00000201674.2,U3,X
ENSG00000272080,ENSG00000272080.1,MIR502,X
ENSG00000216060,ENSG00000216060.1,MIR934,X
ENSG00000263730,ENSG00000263730.1,MIR3937,X
ENSG00000207633,ENSG00000207633.3,MIR505,X
ENSG00000207818,ENSG00000207818.1,MIR105-2,X
ENSG00000277120,ENSG00000277120.5,MIR6089,X
ENSG00000266328,ENSG00000266328.3,MIR4536-2,X
ENSG00000207725,ENSG00000207725.3,MIR222,X
ENSG00000200436,ENSG00000200436.1,Y_RNA,X
ENSG00000265456,ENSG00000265456.1,MIR3672,X
ENSG00000216064,ENSG00000216064.1,MIR891B,X
ENSG00000202199,ENSG00000202199.1,RNU1-115P,X
ENSG00000238926,ENSG00000238926.1,Y_RNA,X
ENSG00000207628,ENSG00000207628.3,MIR651,X
ENSG00000221494,ENSG00000221494.1,MIR548I4,X
ENSG00000222715,ENSG00000222715.1,MIR1911,X
ENSG00000199051,ENSG00000199051.3,MIR361,X
ENSG00000216171,ENSG00000216171.1,MIR513C,X
ENSG00000221459,ENSG00000221459.1,SNORA11C,X
ENSG00000242559,ENSG00000242559.3,RN7SL144P,X
ENSG00000252163,ENSG00000252163.1,RN7SKP31,X
ENSG00000280249,ENSG00000280249.1,AL691477.1,X
ENSG00000202272,ENSG00000202272.1,Y_RNA,X
ENSG00000280704,ENSG00000280704.1,SNORD3E,X
ENSG00000207220,ENSG00000207220.1,RNU1-57P,X
ENSG00000199132,ENSG00000199132.1,MIR450A1,X
ENSG00000207755,ENSG00000207755.3,MIR450A2,X
ENSG00000208000,ENSG00000208000.1,MIR509-1,X
ENSG00000285776,ENSG00000285776.1,AL158069.2,X
ENSG00000239333,ENSG00000239333.3,RN7SL658P,X
ENSG00000201659,ENSG00000201659.1,RNU12-2P,X
ENSG00000206765,ENSG00000206765.1,RNU6-203P,X
ENSG00000222303,ENSG00000222303.1,RNU6-935P,X
ENSG00000251707,ENSG00000251707.2,RNU7-37P,X
ENSG00000239228,ENSG00000239228.3,RN7SL578P,X
ENSG00000207731,ENSG00000207731.1,MIR506,X
ENSG00000278039,ENSG00000278039.1,AL353804.7,X
ENSG00000222419,ENSG00000222419.1,RNA5SP511,X
ENSG00000212611,ENSG00000212611.1,SNORD30,X
ENSG00000252205,ENSG00000252205.1,RNU6-764P,X
ENSG00000201443,ENSG00000201443.1,RNU6-309P,X
ENSG00000201912,ENSG00000201912.1,RN7SKP189,X
ENSG00000202231,ENSG00000202231.1,Z95327.1,X
ENSG00000275625,ENSG00000275625.1,AC004386.5,X
ENSG00000244335,ENSG00000244335.3,RN7SL687P,X
ENSG00000207104,ENSG00000207104.1,RNU6-434P,X
ENSG00000278724,ENSG00000278724.1,Metazoa_SRP,X
ENSG00000278421,ENSG00000278421.1,AC004386.7,X
ENSG00000201594,ENSG00000201594.1,RNA5SP517,X
ENSG00000206896,ENSG00000206896.1,RNU6-1124P,X
ENSG00000207122,ENSG00000207122.1,RNU6-591P,X
ENSG00000199410,ENSG00000199410.1,Y_RNA,X
ENSG00000206948,ENSG00000206948.1,SNORA36A,X
ENSG00000277569,ENSG00000277569.1,MIR6134,X
ENSG00000208015,ENSG00000208015.1,MIR362,X
ENSG00000263652,ENSG00000263652.1,MIR548AX,X
ENSG00000283493,ENSG00000283493.1,MIR6086,X
ENSG00000201341,ENSG00000201341.1,RNU6-421P,X
ENSG00000207868,ENSG00000207868.1,MIR514A1,X
ENSG00000199001,ENSG00000199001.1,MIR448,X
ENSG00000212584,ENSG00000212584.1,RNU6-587P,X
ENSG00000215943,ENSG00000215943.1,MIR892A,X
ENSG00000207984,ENSG00000207984.1,MIR513A2,X
ENSG00000212214,ENSG00000212214.1,SNORA48B,X
ENSG00000221716,ENSG00000221716.1,SNORA11,X
ENSG00000201517,ENSG00000201517.1,RNU6-707P,X
ENSG00000206983,ENSG00000206983.1,RNU6-49P,X
ENSG00000207146,ENSG00000207146.1,Y_RNA,X
ENSG00000272351,ENSG00000272351.1,RNA5SP506,X
ENSG00000212510,ENSG00000212510.1,RNU6-972P,X
ENSG00000221710,ENSG00000221710.1,MIR1298,X
ENSG00000206979,ENSG00000206979.1,SNORD61,X
ENSG00000242657,ENSG00000242657.3,RN7SL581P,X
ENSG00000206900,ENSG00000206900.1,RNU6-98P,X
ENSG00000206639,ENSG00000206639.1,Y_RNA,X
ENSG00000274086,ENSG00000274086.1,L29074.2,X
ENSG00000252294,ENSG00000252294.1,RNU6-589P,X
ENSG00000238485,ENSG00000238485.1,AL161777.1,X
ENSG00000264933,ENSG00000264933.2,RN7SL190P,X
ENSG00000212321,ENSG00000212321.2,U3,X
ENSG00000202410,ENSG00000202410.1,Y_RNA,X
ENSG00000263858,ENSG00000263858.1,MIR4769,X
ENSG00000207435,ENSG00000207435.1,RNU6-114P,X
ENSG00000265170,ENSG00000265170.2,RN7SL667P,X
ENSG00000216075,ENSG00000216075.1,MIR890,X
ENSG00000283694,ENSG00000283694.1,MIR3202-2,X
ENSG00000252441,ENSG00000252441.1,AL589842.1,X
ENSG00000202144,ENSG00000202144.1,Y_RNA,X
ENSG00000265260,ENSG00000265260.2,RN7SL74P,X
ENSG00000221533,ENSG00000221533.1,MIR1184-1,X
ENSG00000202473,ENSG00000202473.1,RN7SKP81,X
ENSG00000207820,ENSG00000207820.1,MIR545,X
ENSG00000221466,ENSG00000221466.2,MIR548AJ2,X
ENSG00000200422,ENSG00000200422.1,AL590229.1,X
ENSG00000211578,ENSG00000211578.3,MIR766,X
ENSG00000199832,ENSG00000199832.1,Y_RNA,X
ENSG00000207367,ENSG00000207367.1,RNU6-29P,X
ENSG00000252583,ENSG00000252583.2,MIR514B,X
ENSG00000221187,ENSG00000221187.1,MIR548M,X
ENSG00000252856,ENSG00000252856.1,RNA5SP503,X
ENSG00000212546,ENSG00000212546.1,RNU6-995P,X
ENSG00000199751,ENSG00000199751.1,Y_RNA,X
ENSG00000284363,ENSG00000284363.1,MIR224,X
ENSG00000284231,ENSG00000284231.1,MIR424,X
ENSG00000275335,ENSG00000275335.1,MIR8088,X
ENSG00000221081,ENSG00000221081.1,MIR320D2,X
ENSG00000284157,ENSG00000284157.1,MIR106A,X
ENSG00000184867,ENSG00000184867.14,ARMCX2,X
ENSG00000286000,ENSG00000286000.1,AC234775.4,X
ENSG00000261101,ENSG00000261101.2,AC234775.3,X
ENSG00000228275,ENSG00000228275.1,ARMCX3-AS1,X
ENSG00000102401,ENSG00000102401.20,ARMCX3,X
ENSG00000198960,ENSG00000198960.11,ARMCX6,X
ENSG00000204072,ENSG00000204072.3,ARMCX7P,X
ENSG00000126947,ENSG00000126947.13,ARMCX1,X
ENSG00000196440,ENSG00000196440.11,ARMCX4,X
ENSG00000234557,ENSG00000234557.2,PPIAP90,X
ENSG00000237682,ENSG00000237682.2,AC234775.2,X
ENSG00000278204,ENSG00000278204.1,MIR6857,X
ENSG00000212014,ENSG00000212014.1,MIR509-3,X
ENSG00000284499,ENSG00000284499.1,MIR363,X
ENSG00000212623,ENSG00000212623.1,RNU6-493P,X
ENSG00000252377,ENSG00000252377.1,RNU6-504P,X
ENSG00000265176,ENSG00000265176.1,MIR3202-1,X
ENSG00000211991,ENSG00000211991.4,MIR676,X
ENSG00000221603,ENSG00000221603.1,MIR1184-3,X
ENSG00000199168,ENSG00000199168.3,MIR374A,X
ENSG00000207870,ENSG00000207870.1,MIR221,X
ENSG00000271814,ENSG00000271814.1,RN7SKP290,X
ENSG00000207426,ENSG00000207426.1,Y_RNA,X
ENSG00000271886,ENSG00000271886.1,MIR98,X
ENSG00000263515,ENSG00000263515.1,MIR548AN,X
ENSG00000264566,ENSG00000264566.3,MIR23C,X
ENSG00000275975,ENSG00000275975.1,Metazoa_SRP,X
ENSG00000207291,ENSG00000207291.1,RNU6-30P,X
ENSG00000202407,ENSG00000202407.1,Y_RNA,X
ENSG00000264618,ENSG00000264618.2,RN7SL732P,X
ENSG00000244006,ENSG00000244006.3,RN7SL799P,X
ENSG00000201440,ENSG00000201440.1,RNA5SP515,X
ENSG00000207800,ENSG00000207800.3,MIR504,X
ENSG00000265465,ENSG00000265465.1,MIR4768,X
ENSG00000207041,ENSG00000207041.1,RNU6-3P,X
ENSG00000201407,ENSG00000201407.1,AC079169.1,X
ENSG00000207768,ENSG00000207768.3,MIR188,X
ENSG00000276350,ENSG00000276350.1,MIR6858,X
ENSG00000239577,ENSG00000239577.3,RN7SL388P,X
ENSG00000200587,ENSG00000200587.1,RNA5SP514,X
ENSG00000239182,ENSG00000239182.1,AL391280.1,X
ENSG00000239057,ENSG00000239057.2,MIR500B,X
ENSG00000252978,ENSG00000252978.1,RN7SKP183,X
ENSG00000211583,ENSG00000211583.3,MIR767,X
ENSG00000207202,ENSG00000207202.1,RNU6-800P,X
ENSG00000206864,ENSG00000206864.1,RNU6-207P,X
ENSG00000207320,ENSG00000207320.1,Y_RNA,X
ENSG00000208839,ENSG00000208839.1,SNORA35,X
ENSG00000212027,ENSG00000212027.3,MIR374B,X
ENSG00000221750,ENSG00000221750.1,SNORA11G,X
ENSG00000263972,ENSG00000263972.1,MIR1587,X
ENSG00000208005,ENSG00000208005.1,MIR503,X
ENSG00000216056,ENSG00000216056.1,MIR891A,X
ENSG00000274655,ENSG00000274655.1,AL353804.4,X
ENSG00000276158,ENSG00000276158.2,MIR1264,X
ENSG00000207871,ENSG00000207871.2,MIR513B,X
ENSG00000201660,ENSG00000201660.1,AC095353.1,X
ENSG00000252147,ENSG00000252147.1,RNY3P16,X
ENSG00000200906,ENSG00000200906.1,RNU6-854P,X
ENSG00000265144,ENSG00000265144.1,MIR548AM,X
ENSG00000206862,ENSG00000206862.1,Y_RNA,X
ENSG00000252219,ENSG00000252219.2,MIR892C,X
ENSG00000275110,ENSG00000275110.1,AL928646.1,X
ENSG00000222122,ENSG00000222122.1,RNU6-648P,X
ENSG00000252491,ENSG00000252491.1,RNU1-142P,X
ENSG00000276823,ENSG00000276823.1,Metazoa_SRP,X
ENSG00000277922,ENSG00000277922.1,AC004386.6,X
ENSG00000200852,ENSG00000200852.1,RNA5SP499,X
ENSG00000207363,ENSG00000207363.1,Y_RNA,X
ENSG00000222736,ENSG00000222736.1,RNU4-6P,X
ENSG00000222922,ENSG00000222922.1,RNA5SP501,X
ENSG00000207175,ENSG00000207175.1,RNU1-67P,X
ENSG00000277605,ENSG00000277605.1,Metazoa_SRP,X
ENSG00000223260,ENSG00000223260.1,RN7SKP194,X
ENSG00000222114,ENSG00000222114.1,RNU6-985P,X
ENSG00000206716,ENSG00000206716.1,RNU6-133P,X
ENSG00000199564,ENSG00000199564.1,RNA5SP502,X
ENSG00000207873,ENSG00000207873.1,MIR513A1,X
ENSG00000208013,ENSG00000208013.3,MIR652,X
ENSG00000212100,ENSG00000212100.2,MIR764,X
ENSG00000216001,ENSG00000216001.3,MIR450B,X
ENSG00000216005,ENSG00000216005.1,MIR888,X
ENSG00000283334,ENSG00000283334.1,MIR4536-1,X
ENSG00000283775,ENSG00000283775.1,MIR4329,X
ENSG00000283931,ENSG00000283931.1,MIR18B,X
ENSG00000216098,ENSG00000216098.1,MIR892B,X
ENSG00000243011,ENSG00000243011.3,RN7SL266P,X
ENSG00000240439,ENSG00000240439.3,RN7SL91P,X
ENSG00000221190,ENSG00000221190.1,MIR1184-2,X
ENSG00000206792,ENSG00000206792.1,Y_RNA,X
ENSG00000277577,ENSG00000277577.1,AL353804.6,X
ENSG00000276784,ENSG00000276784.1,AL353804.5,X
ENSG00000202024,ENSG00000202024.1,RNU6-934P,X
ENSG00000222810,ENSG00000222810.1,RNU2-68P,X
ENSG00000201518,ENSG00000201518.1,RNA5SP513,X
ENSG00000200702,ENSG00000200702.1,Y_RNA,X
ENSG00000252178,ENSG00000252178.1,RNU7-69P,X
ENSG00000273788,ENSG00000273788.1,U3,X
ENSG00000221705,ENSG00000221705.1,SNORA11E,X
ENSG00000207515,ENSG00000207515.1,RNU6-555P,X
ENSG00000207995,ENSG00000207995.1,MIR325,X
ENSG00000275254,ENSG00000275254.1,AC004386.4,X
ENSG00000252296,ENSG00000252296.2,AL359641.2,X
ENSG00000206622,ENSG00000206622.1,SNORA69,X
ENSG00000238709,ENSG00000238709.1,RNU7-56P,X
ENSG00000206723,ENSG00000206723.1,RNU6-1056P,X
ENSG00000200635,ENSG00000200635.1,Y_RNA,X
ENSG00000239745,ENSG00000239745.3,RN7SL790P,X
ENSG00000206752,ENSG00000206752.1,RNU6-1323P,X
ENSG00000207408,ENSG00000207408.1,Y_RNA,X
ENSG00000202469,ENSG00000202469.1,Y_RNA,X
ENSG00000199422,ENSG00000199422.1,VTRNA3-1P,X
ENSG00000202279,ENSG00000202279.1,Y_RNA,X
ENSG00000200572,ENSG00000200572.1,Y_RNA,X
ENSG00000202495,ENSG00000202495.1,Y_RNA,X
ENSG00000201000,ENSG00000201000.1,RNA5SP516,X
ENSG00000252291,ENSG00000252291.1,AC079173.1,X
ENSG00000265727,ENSG00000265727.2,RN7SL648P,X
ENSG00000252411,ENSG00000252411.1,RNU6-1087P,X
ENSG00000212495,ENSG00000212495.1,RNU6-332P,X
ENSG00000207784,ENSG00000207784.3,MIR542,X
ENSG00000207758,ENSG00000207758.1,MIR532,X
ENSG00000283622,ENSG00000283622.1,MIR4328,X
ENSG00000265584,ENSG00000265584.1,MIR3978,X
ENSG00000206936,ENSG00000206936.1,RNU4-52P,X
ENSG00000271907,ENSG00000271907.1,SNORA35B,X
ENSG00000202566,ENSG00000202566.4,MIR421,X
ENSG00000201447,ENSG00000201447.1,RNA5SP509,X
ENSG00000206646,ENSG00000206646.1,Y_RNA,X
ENSG00000200566,ENSG00000200566.1,RNU5F-7P,X
ENSG00000252903,ENSG00000252903.2,RNU6-894P,X
ENSG00000277721,ENSG00000277721.1,Metazoa_SRP,X
ENSG00000265284,ENSG00000265284.1,MIR4770,X
ENSG00000264090,ENSG00000264090.1,MIR4666B,X
ENSG00000252069,ENSG00000252069.1,Y_RNA,X
ENSG00000222667,ENSG00000222667.1,RNU6-394P,X
ENSG00000252627,ENSG00000252627.1,RNU6-122P,X
ENSG00000278218,ENSG00000278218.1,AC003657.1,X
ENSG00000223274,ENSG00000223274.6,RNA5SP498,X
ENSG00000222608,ENSG00000222608.1,RNA5SP504,X
ENSG00000263410,ENSG00000263410.2,RN7SL460P,X
ENSG00000206747,ENSG00000206747.1,RNU6-245P,X
ENSG00000221475,ENSG00000221475.1,SNORA11D,X
ENSG00000206844,ENSG00000206844.1,Y_RNA,X
ENSG00000275287,ENSG00000275287.5,Metazoa_SRP,X
ENSG00000266420,ENSG00000266420.2,RN7SL118P,X
ENSG00000241343,ENSG00000241343.9,RPL36A,X
ENSG00000126945,ENSG00000126945.9,HNRNPH2,X
ENSG00000102393,ENSG00000102393.10,GLA,X
ENSG00000257529,ENSG00000257529.5,RPL36A-HNRNPH2,X
ENSG00000010671,ENSG00000010671.15,BTK,X
ENSG00000126953,ENSG00000126953.8,TIMM8A,X
ENSG00000147140,ENSG00000147140.16,NONO,X
ENSG00000214124,ENSG00000214124.3,SNRPEP9,X
ENSG00000067992,ENSG00000067992.15,PDK3,X
ENSG00000197976,ENSG00000197976.12,AKAP17A,X
ENSG00000130988,ENSG00000130988.13,RGN,X
ENSG00000158352,ENSG00000158352.15,SHROOM4,X
ENSG00000196433,ENSG00000196433.13,ASMT,X
ENSG00000236185,ENSG00000236185.1,HNRNPDLP3,X
ENSG00000226307,ENSG00000226307.1,HNRNPDLP1,X
ENSG00000235425,ENSG00000235425.2,RPS7P13,X
ENSG00000270583,ENSG00000270583.1,AL365400.2,X
ENSG00000232842,ENSG00000232842.2,AL137845.2,X
ENSG00000203262,ENSG00000203262.3,AL137845.1,X
ENSG00000232069,ENSG00000232069.1,RPS29P28,X
ENSG00000286523,ENSG00000286523.1,AL022151.1,X
ENSG00000271209,ENSG00000271209.1,BRDTP1,X
ENSG00000226881,ENSG00000226881.5,H3F3AP5,X
ENSG00000130385,ENSG00000130385.5,BMP15,X
ENSG00000238190,ENSG00000238190.1,HMGB1P15,X
ENSG00000227493,ENSG00000227493.1,AC239367.1,X
ENSG00000230926,ENSG00000230926.1,AC239367.2,X
ENSG00000223753,ENSG00000223753.2,AC234775.1,X
ENSG00000229693,ENSG00000229693.2,AL606530.1,X
ENSG00000229090,ENSG00000229090.2,FO082842.1,X
ENSG00000178146,ENSG00000178146.9,AL672207.1,X
ENSG00000271346,ENSG00000271346.1,AC008162.1,X
ENSG00000278646,ENSG00000278646.1,AC008162.2,X
ENSG00000226685,ENSG00000226685.4,CT47A12,X
ENSG00000237741,ENSG00000237741.1,AC002368.1,X
ENSG00000228572,ENSG00000228572.7,AL954722.1,X
ENSG00000270678,ENSG00000270678.1,AL670379.6,X
ENSG00000226929,ENSG00000226929.3,CT47A11,X
ENSG00000102034,ENSG00000102034.16,ELF4,X
ENSG00000270493,ENSG00000270493.1,AL670379.4,X
ENSG00000224089,ENSG00000224089.3,CT47A10,X
ENSG00000130821,ENSG00000130821.16,SLC6A8,X
ENSG00000271154,ENSG00000271154.1,AL670379.10,X
ENSG00000226600,ENSG00000226600.3,CT47A9,X
ENSG00000223511,ENSG00000223511.7,AL683807.1,X
ENSG00000234622,ENSG00000234622.6,AL683807.2,X
ENSG00000130822,ENSG00000130822.15,PNCK,X
ENSG00000155966,ENSG00000155966.14,AFF2,X
ENSG00000086758,ENSG00000086758.16,HUWE1,X
ENSG00000169084,ENSG00000169084.15,DHRSX,X
ENSG00000223516,ENSG00000223516.1,AFF2-IT1,X
ENSG00000223571,ENSG00000223571.6,DHRSX-IT1,X
ENSG00000214717,ENSG00000214717.12,ZBED1,X
ENSG00000271041,ENSG00000271041.1,AL670379.9,X
ENSG00000230347,ENSG00000230347.5,CT47A8,X
ENSG00000270397,ENSG00000270397.1,AL670379.2,X
ENSG00000228517,ENSG00000228517.3,CT47A7,X
ENSG00000271502,ENSG00000271502.1,AL670379.12,X
ENSG00000226023,ENSG00000226023.6,CT47A6,X
ENSG00000230542,ENSG00000230542.6,LINC00102,X
ENSG00000223773,ENSG00000223773.7,CD99P1,X
ENSG00000271211,ENSG00000271211.1,AL670379.11,X
ENSG00000237957,ENSG00000237957.6,CT47A5,X
ENSG00000270736,ENSG00000270736.1,AL670379.7,X
ENSG00000011677,ENSG00000011677.13,GABRA3,X
ENSG00000231937,ENSG00000231937.1,AC116666.1,X
ENSG00000230594,ENSG00000230594.3,CT47A4,X
ENSG00000270771,ENSG00000270771.1,AL670379.8,X
ENSG00000237351,ENSG00000237351.1,AL513366.1,X
ENSG00000147123,ENSG00000147123.10,NDUFB11,X
ENSG00000182872,ENSG00000182872.16,RBM10,X
ENSG00000101911,ENSG00000101911.12,PRPS2,X
ENSG00000236126,ENSG00000236126.3,CT47A3,X
ENSG00000270646,ENSG00000270646.1,AL670379.5,X
ENSG00000242362,ENSG00000242362.2,CT47A2,X
ENSG00000270456,ENSG00000270456.1,AL670379.3,X
ENSG00000236371,ENSG00000236371.5,CT47A1,X
ENSG00000270251,ENSG00000270251.1,AL670379.1,X
ENSG00000223940,ENSG00000223940.1,KRT8P8,X
ENSG00000269475,ENSG00000269475.2,AC244102.2,X
ENSG00000268089,ENSG00000268089.3,GABRQ,X
ENSG00000233433,ENSG00000233433.1,AC006144.1,X
ENSG00000182890,ENSG00000182890.5,GLUD2,X
ENSG00000287394,ENSG00000287394.1,AC244102.4,X
ENSG00000229083,ENSG00000229083.1,PSMA6P2,X
ENSG00000230691,ENSG00000230691.1,MRPL35P4,X
ENSG00000287379,ENSG00000287379.1,AC006144.2,X
ENSG00000286163,ENSG00000286163.1,AC002377.1,X
ENSG00000234176,ENSG00000234176.1,HSPA8P1,X
ENSG00000213498,ENSG00000213498.3,TPT1P13,X
ENSG00000260585,ENSG00000260585.1,AL359851.1,X
ENSG00000237891,ENSG00000237891.1,AL441985.1,X
ENSG00000280142,ENSG00000280142.1,AL357562.1,X
ENSG00000178605,ENSG00000178605.13,GTPBP6,X
